accession	Line #	Plot Number	Replicate Number	Date data gathered	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Date data gathered	Total Yield	Specific gravity at harvest	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Heat sprout rating	Date data gathered	Specific gravity at storage	SFA Chip color - 45°	Colorimeter Chip Color	Sugar Analysis-Sucrose	Sugar Analysis-Glucose
accession	#	#	#	mm/dd/yy	Scale 1-9	PVP scale 1-9	PVP scale 1-9	mm/dd/yy	kg	SG = (air)/(air-water)	PVP scale 1-9	NE1014 scale 1-9	PVP scale 1-9	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9	NE1014 scale 1-9	Scale 1-9	mm/yyyy	SG = (air)/(air-water), 1.###	SFA 1-5 color chart		mg/g fresh weight (FW)	mg/g fresh weight (FW)
accession	Line #	Plot Number	Replicate Number	date	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	date1	SP:0000198|unit:kg	SP:0000218|unit:	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	SP:0000220|scale:potato_cooperators	date2	SP:0000219|unit:	SP:0000223|unit:	SP:0000224|unit:	SP:0000214|unit:milligram	SP:0000215|unit:milligram
A05141-12|2	A05141-12	2089	2	2009/06/03	5	2	1	2009/07/24	0.533	1.07028112449799	5	4	1	5	53.386	39.842	37.09	3	4	6	1	2009/08/01	1.06666666666667	2	61	3.77	0.287
A05141-13|1	A05141-13	1027	1	2009/06/03	3	2	2	2009/07/24	1.99	1.06417112299465	5	6	1	6	77.729	52.722	48.201	4	7	5	1	2009/08/01	1.06527415143603	3	49	5.17	0.8869
A05141-13|2	A05141-13	2019	2	2009/06/03	5	2	2	2009/07/24	2.516	1.07613344739093	5	6	1	6	84.177	57.911	51.386	3	5	4	1	2009/08/01	1.07575757575758	3	51	No data	No data
A05141-14|1	A05141-14	1039	1	2009/06/03	3	4	4	2009/07/24	0.714	1.0593471810089	5	6	1	8	76.912	40.864	37.98	1	3	2	2	2009/08/01	1.05670103092784	2	57	5.75	0.451
A05141-14|2	A05141-14	2006	2	2009/06/03	3	4	3	2009/07/24	2.584	1.06075533661741	5	6	1	6	87.516	49.875	44.197	2	6	3	2	2009/08/01	1.07023411371237	2	59	6.5496	0.5248
A05141-16|1	A05141-16	1061	1	2009/06/03	5	2	2	2009/07/24	1.809	1.06099706744868	5	6	1	5	69.541	49.569	44.904	4	4	6	1	2009/08/01	1.06462585034014	3	47	7.7229	0.8287
A05141-16|2	A05141-16	2079	2	2009/06/03	3	2	1	2009/07/24	1.547	1.0625	5	7	1	5	68.717	50.596	44.973	5	4	5	1	2009/08/01	1.06944444444444	3	54	6.3892	0.863
A05141-17|1	A05141-17	1073	1	2009/06/03	5	7	4	2009/07/24	1.994	1.06176783812567	5	6	1	9	97.87	47.45	44.414	4	5	3	1	2009/08/01	1.0679012345679	2	61	1.7646	0.1517
A05141-17|2	A05141-17	2094	2	2009/06/03	3	7	5	2009/07/24	1.328	1.05564387917329	5	6	1	6	81.237	49.538	44.985	3	5	3	2	2009/08/01	1.05841924398625	2	60	2.5621	0.5074
A05141-18|1	A05141-18	1036	1	2009/06/03	3	6	3	2009/07/24	2.559	1.07611438183347	5	7	1	9	88.203	47.837	41.744	1	4	5	3	2009/08/01	1.0785498489426	2	60	3.6071	0.2296
A05141-18|2	A05141-18	2037	2	2009/06/03	5	6	5	2009/07/24	2.074	1.07405489383739	5	7	1	8	101.587	51.852	45.53	2	5	4	1	2009/08/01	1.07798165137615	2	61	2.475	0.1751
A05141-19|1	A05141-19	1063	1	2009/06/03	3	6	4	2009/07/24	3.768	1.06561085972851	5	5	1	7	102.862	61.652	54.435	1	8	3	2	2009/08/01	1.06770833333333	3	53	9.8542	0.3172
A05141-19|2	A05141-19	2064	2	2009/06/03	5	4	3	2009/07/24	3.57	1.0663082437276	5	4	1	6	91.359	60.332	52.963	3	7	4	3	2009/08/01	1.07129455909944	2	56	9.0017	0.5899
A05141-21|1	A05141-21	1044	1	2009/06/03	3	5	5	2009/07/24	0.827	1.05216284987277	5	6	1	9	85.736	38.302	35.817	3	5	4	1	2009/08/01	1.04968944099379	3	47	3.3229	1.1532
A05141-21|2	A05141-21	2041	2	2009/06/03	3	4	4	2009/07/24	1.297	1.04765751211632	5	6	1	8	84.013	43.711	39.397	3	5	3	2	2009/08/01	1.05508474576271	3	45	5.1333	2.31
A05141-22|1	A05141-22	1066	1	2009/06/03	5	5	5	2009/07/24	0.558	1.04299065420561	5	6	1	5	61.03 : average out of 7	45.79 : average out of 7	43.28 : average out of 7	3	5	4	1	2009/08/01	1.05369127516779	2	55	3.47	0.599
A05141-22|2	A05141-22	2059	2	2009/06/03	5	6	4	2009/07/24	1.108	1.04627006610009	5	7	1	5	61.978	47.774	45.185	3	4	5	1	2009/08/01	1.06060606060606	3	48	2.42	1.5492
A05141-23|1	A05141-23	1058	1	2009/06/03	5	6	6	2009/07/24	3.015	1.06876993973768	5	7	1	8	116.733	56.835	52.875	4	7	4	1	2009/08/01	1.07266982622433	2	56	4.0967	0.7925
A05141-23|2	A05141-23	2020	2	2009/06/03	5	4	4	2009/07/24	2.882	1.07018195321203	5	6	1	7	106.594	60.082	53.502	4	7	4	2	2009/08/01	1.07427536231884	2	60	4.3633	0.248
A05141-24|1	A05141-24	1094	1	2009/06/03	3	6	4	2009/07/24	1.785	1.06376638855781	5	6	1	8	119.032	41.959	40.45	1	5	1	3	2009/08/01	1.06764705882353	3	50	4.9088	1.1128
A05141-24|2	A05141-24	2016	2	2009/06/03	5	6	4	2009/07/24	3.217	1.06347107438017	5	6	1	8	133.637	50.246	47.824	4	7	3	2	2009/08/01	1.06998158379374	2	57	2.8738	0.3328
A05141-25|1	A05141-25	1045	1	2009/06/03	5	2	2	2009/07/24	0.745	1.07348703170029	5	7	1	4	60.022	44.325	41.303	3	4	5	1	2009/08/01	1.05263157894737	2	60	3.94	0.256
A05141-25|2	A05141-25	2069	2	2009/06/03	5	2	1	2009/07/24	1.04	1.06230847803882	5	6	1	4	56.005	43.466	39.771	3	3	6	1	2009/08/01	1.06857142857143	2	62	4.84	0.4435
A05141-27|1	A05141-27	1089	1	2009/06/03	5	4	4	2009/07/24	2.459	1.06773773339123	5	7	1	6	77.186	49.76	45	2	5	4	4	2009/08/01	1.07236842105263	2	56	5.1288	0.4505
A05141-27|2	A05141-27	2001	2	2009/06/03	5	4	4	2009/07/24	3.329	1.06562099871959	5	7	1	8	90.188	46.827	42.057	3	6	4	1	2009/08/01	1.07590759075908	3	57	3.6621	0.3442
A05141-28|1	A05141-28	1042	1	2009/06/03	3	6	5	2009/07/24	0.948	1.05567928730512	5	6	1	9	96.844	41.014	39.538	1	5	3	1	2009/08/01	1.06198347107438	2	60	3.3779	0.2837
