accession	Line #	Plot Number	Replicate Number	Date data gathered	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Date data gathered	Total Yield	Specific gravity at harvest	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Heat sprout rating	Date data gathered	Specific gravity at storage	SFA Chip color - 45°	Colorimeter Chip Color	Sugar Analysis-Sucrose	Sugar Analysis-Glucose
accession	#	#	#	mm/dd/yy	Scale 1-9	PVP scale 1-9	PVP scale 1-9	mm/dd/yy	kg	SG = (air)/(air-water)	PVP scale 1-9	NE1014 scale 1-9	PVP scale 1-9	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9	NE1014 scale 1-9	Scale 1-9	mm/yyyy	SG = (air)/(air-water), 1.###	SFA 1-5 color chart		mg/g fresh weight (FW)	mg/g fresh weight (FW)
accession	Line #	Plot Number	Replicate Number	date	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	date1	SP:0000198|unit:kg	SP:0000218|unit:	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	SP:0000220|scale:potato_cooperators	date2	SP:0000219|unit:	SP:0000223|unit:	SP:0000224|unit:	SP:0000214|unit:milligram	SP:0000215|unit:milligram
A05141-62|2	A05141-62	2099	2	2009/06/03	3	9	9	2009/07/24	2.258	1.04925650557621	5	7	1	7	103.412	46.681	43.282	1	5	1	3	2009/08/01	1.06091370558376	3	50	3.0571	1.2503
A05141-64|1	A05141-64	1071	1	2009/06/03	5	4	2	2009/07/24	1.474	1.06579898770788	5	7	1	8	88.5	45.101	41.846	4	6	4	1	2009/08/01	1.07051282051282	2	61	1.9479	0.1027
A05141-64|2	A05141-64	2070	2	2009/06/03	3	2	2	2009/07/24	1.009	1.05876180482686	5	7	1	8	81.911	43.844	39.778	4	5	4	1	2009/08/01	1.06574394463668	2	59	2.0488	0.1545
A05141-66|1	A05141-66	1091	1	2009/06/03	3	5	4	2009/07/24	0.588	1.05	5	4	1	6	98.13 : average out of 4	55.42 : average out of 4	49.78 : average out of 4	3	6	3	1	2009/08/01	1.06015037593985	3	53	1.9708	0.2342
A05141-66|2	A05141-66	2007	2	2009/06/03	3	7	7	2009/07/24	0.649	1.05528455284553	5	7	1	8	99.93 : average out of 5	48.60 : average out of 5	44.90 : average out of 5	3	6	4	2	2009/08/01	1.04705882352941	3	53	1.4025	0.4693
A05141-67|1	A05141-67	1023	1	2009/06/03	3	4	7	2009/07/24	1.155	1.06845513413506	5	6	1	5	63.432	45.628	42.135	2	4	4	2	2009/08/01	1.06896551724138	2	58	2.8463	0.2773
A05141-67|2	A05141-67	2083	2	2009/06/03	3	5	5	2009/07/24	2.856	1.06013363028953	5	6	1	8	112.739	58.4099	53.857	2	7	3	3	2009/08/01	1.06603773584906	2	56	2.5896	0.0963
A05141-68|1	A05141-68	1003	1	2009/06/03	3	8	5	2009/07/24	1.304	1.06623058053966	5	5	1	7	86.98	47.883	44.159	1	5	1	4	2009/08/01	1.06415094339623	3	54	3.1304	0.4075
A05141-68|2	A05141-68	2024	2	2009/06/03	3	5	6	2009/07/24	2.573	1.06234516928159	5	5	1	6	85.915	55.456	52.399	3	6	2	3	2009/08/01	1.06818181818182	2	58	2.4154	0.3887
A05141-69|1	A05141-69	1055	1	2009/06/03	3	5	8	2009/07/24	2.771	1.05965583173996	5	6	1	6	90.516	56.049	51.815	3	7	4	2	2009/08/01	1.06147540983607	3	53	2.6675	0.9772
A05141-69|2	A05141-69	2095	2	2009/06/03	3	8	7	2009/07/24	4.693	1.06056497175141	6	3	1	4	82.37	61.738	58.106	1	6	3	4	2009/08/01	1.06578947368421	3	54	2.145	0.3813
A05141-70|1	A05141-70	1095	1	2009/06/03	5	2	2	2009/07/24	1.354	1.09105560032232	6	5	1	6	75.529	47.289	42.31	1	4	3	1	2009/08/01	1.08542713567839	2	64	3.0892	0.2012
A05141-70|2	A05141-70	2076	2	2009/06/03	5	2	1	2009/07/24	1.179	1.08363970588235	6	6	1	6	77.07	49.874	43.272	3	5	4	1	2009/08/01	1.08974358974359	1	66	1.9204	0.0463
A05141-71|1	A05141-71	1080	1	2009/06/03	5	2	1	2009/07/24	1.096	1.07662082514735	5	6	1	4	64.262	54.493	47.262	4	4	6	1	2009/08/01	1.07348242811502	2	64	1.6363	0.0458
A05141-71|2	A05141-71	2008	2	2009/06/03	3	2	1	2009/07/24	0.604	1.08243727598566	5	6	1	5	54.74 : average out of 9	43.41 : average out of 9	39.34 : average out of 9	3	4	5	1	2009/08/01	1.07650273224044	2	62	1.073	0.0344
A05141-72|1	A05141-72	1043	1	2009/06/03	3	6	8	2009/07/24	0.551	1.04158790170132	5	7	1	8	93.14 : average out of 4	47.48 : average out of 4	41.96 : average out of 4	2	7	3	2	2009/08/01	1.05164319248826	2	61	1.3743	0.1097
A05141-72|2	A05141-72	2025	2	2009/06/03	3	6	7	2009/07/24	1.325	1.04908946951702	5	7	1	8	103.10 : average out of 9	51.28 : average out of 9	47.82 : average out of 9	1	6	4	3	2009/08/01	1.05384615384615	2	55	1.9938	0.1985
A05141-73|1	A05141-73	1048	1	2009/06/03	3	6	7	2009/07/24	1.82	1.05020196191575	5	6	1	8	88.173	39.673	37.966	1	5	2	3	2009/08/01	1.05454545454545	3	52	2.5621	0.5926
A05141-73|2	A05141-73	2027	2	2009/06/03	5	7	7	2009/07/24	3.312	1.05747126436782	5	7	1	7	90.015	47.984	44.31	3	4	2	3	2009/08/01	1.07042253521127	3	52	3.135	0.8388
A05141-75|1	A05141-75	1013	1	2009/06/03	3	8	5	2009/07/24	1.007	1.05224660397074	5	7	1	8	81.707	37.528	36.156	2	4	2	2	2009/08/01	1.06172839506173	3	54	6.04	0.65
A05141-75|2	A05141-75	2061	2	2009/06/03	5	5	4	2009/07/24	3.448	1.05929339477727	5	4	1	5	91.203	53.545	49.227	1	3	1	4	2009/08/01	1.0715935334873	2	56	2.9838	0.4744
A05141-76|1	A05141-76	1025	1	2009/06/03	3	4	4	2009/07/24	1.888	1.05770308123249	5	6	1	7	89.364	46.137	44.833	1	6	1	2	2009/08/01	1.06103286384977	3	53	5.9125	0.7324
A05141-76|2	A05141-76	2005	2	2009/06/03	3	6	4	2009/07/24	3.135	1.0619918699187	5	6	1	6	93.846	49.867	45.257	1	5	1	2	2009/08/01	1.071875	2	58	2.7042	0.1623
A05141-77|1	A05141-77	1038	1	2009/06/03	3	6	4	2009/07/24	2.103	1.0499251123315	5	6	1	6	82.282	46.023	42.457	3	6	1	3	2009/08/01	1.05072463768116	3	50	2.7225	1.117
A05141-77|2	A05141-77	2044	2	2009/06/03	5	5	9	2009/07/24	2.256	1.04686774941995	5	7	1	9	92.297	46.219	43.908	2	5	3	2	2009/08/01	1.05329949238579	3	50	1.7096	1.0244
A05141-78|1	A05141-78	1046	1	2009/06/03	5	6	5	2009/07/24	1.159	1.04320432043204	5	7	1	8	85.514	42.998	37.705	2	4	2	2	2009/08/01	1.04845814977974	3	45	2.75	0.9882
A05141-78|2	A05141-78	2029	2	2009/06/03	7	4	5	2009/07/24	3.3	1.05263157894737	5	7	1	9	121.825	45.118	40.721	1	7	2	3	2009/08/01	1.05665722379603	3	46	3.2542	1.5721
A05141-79|1	A05141-79	1005	1	2009/06/03	3	5	4	2009/07/24	0.874	1.0632603406326	5	6	1	5	69.248	39.85	36.943	4	3	4	2	2009/08/01	1.06832298136646	3	52	6.1717	0.8709
A05141-79|2	A05141-79	2101	2	2009/06/03	5	4	3	2009/07/24	2.447	1.07277509864095	5	4	1	4	67.521	53.575	49.106	4	4	4	1	2009/08/01	1.07861635220126	2	63	3.9875	0.1439
A05141-80|1	A05141-80	1032	1	2009/06/03	3	8	8	2009/07/24	1.116	1.06083650190114	5	6	1	9	77.265	39.943	37.866	3	4	4	1	2009/08/01	1.06632653061224	2	60	10.7067	1.0189
A05141-80|2	A05141-80	2065	2	2009/06/03	3	8	8	2009/07/24	2.033	1.05446058091286	5	4	1	6	74.067	50.241	45.35	2	3	4	2	2009/08/01	1.06031746031746	2	58	3.6942	0.6293
A05141-82|1	A05141-82	1015	1	2009/06/03	3	7	4	2009/07/24	1.164	1.05818181818182	5	6	1	8	84.482	42.131	37.711	1	6	2	2	2009/08/01	1.06194690265487	3	50	4.3083	0.6692
A05141-82|2	A05141-82	2047	2	2009/06/03	5	8	6	2009/07/24	1.961	1.05885529157667	5	6	1	8	100.886	50.178	43.838	3	8	3	2	2009/08/01	1.06796116504854	2	56	3.1763	0.2819
A05141-83|1	A05141-83	1051	1	2009/06/03	3	6	5	2009/07/24	0.432	1.04600484261501	5	7	1	8	76.03 : average out of 9	35.91 : average out of 9	33.06 : average out of 9	3	4	1	3	2009/08/01	1.04545454545455	2	55	1.9573	0.394
A05141-83|2	A05141-83	2040	2	2009/06/03	3	5	5	2009/07/24	0.677	1.04636785162287	5	7	1	7	90.744	36.417	33.892	1	2	2	3	2009/08/01	1.05056179775281	2	55	3.7467	0.778
A05141-84|1	A05141-84	1031	1	2009/06/03	3	7	6	2009/07/24	1.926	1.05418719211823	5	6	1	7	80.628	45.356	42.582	3	6	3	3	2009/08/01	1.05668016194332	3	50	2.3111	1.0117
A05141-84|2	A05141-84	2036	2	2009/06/03	3	8	6	2009/07/24	1.628	1.05100064557779	5	6	1	4	74.398	47.971	43.911	3	4	4	3	2009/08/01	1.05439330543933	3	46	1.705	1.5033
A05141-87|1	A05141-87	1062	1	2009/06/03	7	1	1	2009/07/24	1.119	1.07081339712919	5	5	1	5	61.722	41.66	39.177	4	3	4	1	2009/08/01	1.06363636363636	2	59	6.505	0.222
A05141-87|2	A05141-87	2054	2	2009/06/03	5	1	1	2009/07/24	1.693	1.06746532156368	5	7	1	5	71.652	46.249	43.026	3	3	5	1	2009/08/01	1.06896551724138	2	63	4.3221	0.1233
A05141-88|1	A05141-88	1084	1	2009/06/03	5	5	5	2009/07/24	0.278	1.0530303030303	5	6	1	5	64.79 : average out of 5	41.36 : average out of 5	36.21 : average out of 5	3	3	4	1	2009/08/01	1.06153846153846	2	59	2.816	0.326
A05141-88|2	A05141-88	2052	2	2009/06/03	3	4	4	2009/07/24	0.835	1.05296343001261	5	7	1	4	61.556	44.036	41.447	3	3	4	1	2009/08/01	1.06024096385542	2	58	1.8725	0.5209
A05141-90|1	A05141-90	1079	1	2009/06/03	5	4	2	2009/07/24	1.408	1.07398932112891	5	6	1	5	63.235	44.657	41.448	3	4	6	1	2009/08/01	1.07511737089202	2	59	2.97	0.148
A05141-90|2	A05141-90	2060	2	2009/06/03	5	2	1	2009/07/24	2.482	1.07492420961455	5	7	1	5	67.726	45.508	43.457	3	3	6	1	2009/08/01	1.08433734939759	2	60	2.3238	0.1806
A05141-91|1	A05141-91	1088	1	2009/06/03	5	3	2	2009/07/24	2.279	1.07348092322186	6	5	1	5	72.034	54.399	49.248	3	5	5	1	2009/08/01	1.07392996108949	2	61	2.0121	0.0724
A05141-91|2	A05141-91	2043	2	2009/06/03	5	2	1	2009/07/24	1.791	1.0743851229754	5	6	1	4	62.841	48.317	44.128	3	3	4	1	2009/08/01	1.07758620689655	2	63	1.7004	0.0518
A05141-92|1	A05141-92	1007	1	2009/06/03	3	4	2	2009/07/24	0.786	1.05503355704698	5	7	1	5	70.64 : average out of 9	45.23 : average out of 9	41.87 : average out of 9	2	6	4	1	2009/08/01	1.05681818181818	3	50	5.3492	1.4023
A05141-92|2	A05141-92	2073	2	2009/06/03	5	3	1	2009/07/24	3.082	1.06129476584022	5	7	1	5	76.743	57.989	52.058	5	6	4	1	2009/08/01	1.06304347826087	2	60	2.2092	0.2365
A05141-94|1	A05141-94	1049	1	2009/06/03	5	2	2	2009/07/24	0.931	1.07011494252874	5	5	1	5	73.384	47.101	43.857	3	4	6	1	2009/08/01	1.0722433460076	2	60	1.6363	0.1109
A05141-94|2	A05141-94	2021	2	2009/06/03	3	1	1	2009/07/24	0.805	1.06622516556291	5	5	1	5	66.192	42.078	39.517	3	2	6	1	2009/08/01	1.07389162561576	2	59	1.3044	0.1013
A05141-95|1	A05141-95	1077	1	2009/06/03	5	3	2	2009/07/24	1.599	1.07243460764588	5	6	1	6	84.975	47.463	43.362	4	4	4	1	2009/08/01	1.07308970099668	2	59	2.42	0.2058
A05141-95|2	A05141-95	2003	2	2009/06/03	3	3	1	2009/07/24	3.017	1.07673090649536	5	6	1	5	82.149	51.274	46.669	3	5	6	1	2009/08/01	1.08219178082192	2	61	3.2588	0.2635
A05141-96|1	A05141-96	1024	1	2009/06/03	3	5	3	2009/07/24	1.77	1.07664233576642	5	6	1	6	80.003	42.026	38.362	1	5	2	2	2009/08/01	1.07174887892377	3	54	2.1863	0.7361
A05141-96|2	A05141-96	2084	2	2009/06/03	3	5	4	2009/07/24	1.708	1.07151819322459	6	3	1	6	89.463	56.308	48.44	1	7	3	2	2009/08/01	1.07692307692308	2	59	2.1221	0.1031
A05141-98|1	A05141-98	1075	1	2009/06/03	3	1	1	2009/07/24	0.319	1.07046979865772	5	7	1	2	46.47 : average out of 7	43.08 : average out of 7	38.89 : average out of 7	3	3	6	1	2009/08/01	1.06896551724138	2	61	3.6583	0.2158
A05141-98|2	A05141-98	2042	2	2009/06/03	3	2	1	2009/07/24	0.694	1.05954198473282	5	5	1	2	44.577	39.477	37.765	3	2	6	1	2009/08/01	1.06611570247934	2	62	1.8047	0.1227
A05141-99|1	A05141-99	1090	1	2009/06/03	5	4	3	2009/07/24	2.447	1.06483899042646	5	5	1	5	80.742	55.74	51.771	3	6	5	3	2009/08/01	1.06858407079646	2	55	4.6429	0.5188
A05141-99|2	A05141-99	2098	2	2009/06/03	7	7	5	2009/07/24	3.99	1.05639396346307	5	6	1	5	89.193	62.298	56.39	2	7	4	1	2009/08/01	1.06643356643357	2	59	3.2908	0.2961
A05141-100|1	A05141-100	1014	1	2009/06/03	3	5	3	2009/07/24	2.59	1.06191061910619	5	7	1	4	80.661	52.449	48.249	4	6	3	3	2009/08/01	1.06628242074928	3	48	5.0325	1.5996
A05141-100|2	A05141-100	2100	2	2009/06/03	3	5	4	2009/07/24	3.294	1.05882352941176	5	6	1	6	98.304	59.766	53.643	3	7	1	3	2009/08/01	1.05820105820106	3	47	3.1671	0.8103
A05141-101|1	A05141-101	1002	1	2009/06/03	3	8	5	2009/07/24	1.839	1.06980802792321	5	6	1	6	78.184	48.411	45.823	3	5	2	3	2009/08/01	1.06367041198502	2	56	1.5033	0.4661
A05141-101|2	A05141-101	2012	2	2009/06/03	5	7	4	2009/07/24	2.753	1.0555981595092	5	7	1	7	90.619	52.514	48.726	3	6	3	3	2009/08/01	1.06199460916442	2	59	1.6729	0.1783
A05141-102|1	A05141-102	1059	1	2009/06/03	5	3	3	2009/07/24	1.173	1.07614678899083	5	6	1	6	69.63	46.584	42.011	3	4	4	1	2009/08/01	1.08267716535433	2	58	4.9821	0.1114
A05141-102|2	A05141-102	2081	2	2009/06/03	5	5	4	2009/07/24	1.09	1.06967615309127	5	6	1	6	63.404	41.757	38.936	3	3	4	2	2009/08/01	1.0787037037037	2	59	3.8133	0.1215
A05141-105|1	A05141-105	1006	1	2009/06/03	3	9	9	2009/07/24	0.5	1.03734439834025	5	7	1	7	77.89 : average out of 6	37.28 : average out of 6	33.75 : average out of 6	2	6	3	1	2009/08/01	1.04511278195489	3	53	2.1333	1.1445
A05141-105|2	A05141-105	2028	2	2009/06/03	3	9	9	2009/07/24	2	1.04275286757039	5	6	1	6	93.794	52.453	48.196	3	5	3	1	2009/08/01	1.04565217391304	3	51	1.1701	0.5972
A05141-106|1	A05141-106	1052	1	2009/06/03	3	8	6	2009/07/24	0.793	1.04755614266843	5	7	1	8	85.032	39.54	36.64	2	5	3	2	2009/08/01	1.04878048780488	3	52	3.0983	0.3291
A05141-106|2	A05141-106	2093	2	2009/06/03	3	8	6	2009/07/24	2.477	1.05269868253294	5	7	1	8	99.374	47.939	44.687	3	5	3	3	2009/08/01	1.06143344709898	3	49	3.5292	0.6632
A05141-107|1	A05141-107	1016	1	2009/06/03	3	7	4	2009/07/24	1.488	1.06134094151213	5	6	1	7	90.01	47.282	43.832	4	7	4	3	2009/08/01	1.06469002695418	2	57	2.2138	0.1545
A05141-107|2	A05141-107	2032	2	2009/06/03	5	5	4	2009/07/24	2.42	1.0586176727909	5	5	1	6	104.153	55.782	53.7	4	8	2	5	2009/08/01	1.06428571428571	3	54	2.7454	0.4194
A05141-109|1	A05141-109	1064	1	2009/06/03	3	6	5	2009/07/24	1.803	1.04764671702499	5	6	1	8	83.351	43.47	41.311	3	4	3	3	2009/08/01	1.04761904761905	4	43	3.1763	1.1422
A05141-109|2	A05141-109	2062	2	2009/06/03	3	5	4	2009/07/24	2.256	1.04686774941995	5	4	1	9	100.508	50.86	48.681	3	5	4	3	2009/08/01	1.05513784461153	3	48	3.2725	0.655
A05141-110|1	A05141-110	1054	1	2009/06/03	3	5	3	2009/07/24	1.524	1.0687237026648	5	5	1	5	78.201	59.024	52.96	4	6	4	1	2009/08/01	1.06888361045131	2	58	2.0396	0.2365
A05141-110|2	A05141-110	2088	2	2009/06/03	3	4	4	2009/07/24	1.792	1.06921241050119	5	5	1	5	74.277	62.396	55.439	2	7	3	1	2009/08/01	1.07294832826748	3	54	3.1533	0.5349
A05141-111|1	A05141-111	1004	1	2009/06/03	3	5	4	2009/07/24	0.266	1.08130081300813	5	4	1	6	49.553	27.449	25.024	1	2	1	2	2009/08/01	1.05769230769231	2	60	8.925	0.555
A05141-111|2	A05141-111	2053	2	2009/06/03	7	5	4	2009/07/24	1.406	1.07492354740061	5	4	1	8	91.883	45.9	42.436	1	5	3	2	2009/08/01	1.08	2	61	3.4375	0.0917
A05141-112|1	A05141-112	1096	1	2009/06/03	5	5	5	2009/07/24	1.292	1.06688687035508	5	4	1	6	69.831	38.931	37.065	3	3	5	2	2009/08/01	1.07643312101911	2	58	2.128	0.2315
A05141-112|2	A05141-112	2026	2	2009/06/03	5	5	6	2009/07/24	1.301	1.06464811783961	5	7	1	8	89.431	42.632	39.144	3	4	3	1	2009/08/01	1.07171314741036	2	56	1.8104	0.2553
A05141-114|1	A05141-114	1074	1	2009/06/03	5	2	1	2009/07/24	0.559	1.08123791102515	5	6	1	3	43.934	38.285	36.171	3	2	6	1	2009/08/01	1.07692307692308	2	62	3.9733	0.156
A05141-114|2	A05141-114	2009	2	2009/06/03	5	2	1	2009/07/24	1.464	1.08284023668639	5	6	1	4	60.1	47.591	42.573	3	2	5	1	2009/08/01	1.08050847457627	2	63	1.7508	0.1054
A05141-115|1	A05141-115	1093	1	2009/06/03	5	3	3	2009/07/24	1.194	1.07761732851986	5	6	1	8	79.267	40.095	37.838	3	4	5	2	2009/08/01	1.08	3	52	5.555	1.3915
A05141-115|2	A05141-115	2023	2	2009/06/03	5	3	2	2009/07/24	1.441	1.07698056801196	5	6	1	8	95.81	48.166	43.054	3	6	5	1	2009/08/01	1.08266666666667	2	59	5.1333	0.4061
A05141-116|1	A05141-115	1085	1	2009/06/03	5	4	3	2009/07/24	1.12	1.06463878326996	1	7	1	8	83.588	34.905	32.189	1	3	3	2	2009/08/01	1.06629834254144	2	55	4.9222	0.3606
A05141-116|2	A05141-115	2038	2	2009/06/03	7	3	3	2009/07/24	1.781	1.06838632273545	5	7	1	9	91.985	42.258	38.919	1	4	4	3	2009/08/01	1.06859205776173	2	57	2.8738	0.1705
A05141-118|1	A05141-115	1011	1	2009/06/03	3	3	3	2009/07/24	1.277	1.06151288445553	5	6	1	4	73.762	51.87	44.093	5	5	4	1	2009/08/01	1.07063197026022	2	55	2.2321	0.3075
A05141-118|2	A05141-115	2057	2	2009/06/03	3	2	1	2009/07/24	1.842	1.06906558328497	5	6	1	4	68.356	58.653	54.418	4	5	6	1	2009/08/01	1.07281553398058	2	58	2.6217	0.1352
A05141-119|1	A05141-115	1012	1	2009/06/03	3	7	6	2009/07/24	0.082	1.05128205128205	5	7	1	6	55.81 : average out of 3	27.07 : average out of 3	25.51 : average out of 3	3	2	4	1	2009/08/01	1.05263157894737	2	55	No data	No data
A05141-119|2	A05141-115	2049	2	2009/06/03	3	8	9	2009/07/24	1.438	1.04734158776402	5	7	1	8	108.372	41.929	38.369	2	7	3	2	2009/08/01	1.05678233438486	3	53	3.5222	0.612
A05141-120|1	A05141-115	1026	1	2009/06/03	3	4	7	2009/07/24	0.292	1.05797101449275	5	6	1	5	44.687	29.317	27.321	3	4	4	1	2009/08/01	1.04545454545455	3	50	3.7833	0.9458
A05141-120|2	A05141-115	2030	2	2009/06/03	3	6	6	2009/07/24	1.091	1.04702495201536	5	5	1	4	62.059	42.852	39.254	3	2	6	1	2009/08/01	1.05228758169935	3	47	3.76	0.688
A05141-121|1	A05141-115	1001	1	2009/06/03	3	5	3	2009/07/24	1.829	1.07147041593439	5	6	1	3	80.277	55.713	52.086	3	6	4	1	2009/08/01	1.07	2	61	1.6592	0.0596
A05141-121|2	A05141-115	2074	2	2009/06/03	3	3	2	2009/07/24	2.381	1.06294642857143	5	7	1	6	95.35	60.512	56.078	4	8	6	1	2009/08/01	1.06633499170813	2	60	1.0276	0.0779
A05141-123|1	A05141-115	1069	1	2009/06/03	3	6	5	2009/07/24	0.046	1.02222222222222	5	4	1	5	59.94 : average out of 2	29.27 : average out of 2	28.09 : average out of 2	4	1	1	2	2009/08/01	1.07692307692308	3	45	No data	No data
A05141-123|2	A05141-115	2091	2	2009/06/03	3	5	6	2009/07/24	0.695	1.04354354354354	5	4	1	8	64.45 : average out of 9	38.19 : average out of 9	36.39 : average out of 9	4	5	4	2	2009/08/01	1.05263157894737	3	48	1.6775	1.485
A05141-125|1	A05141-115	1101	1	2009/06/03	3	5	3	2009/07/24	1.399	1.0638783269962	6	5	1	5	77.89 : average out of 9	46.72 : average out of 9	44.14 : average out of 9	2	5	4	1	2009/08/01	1.06488549618321	2	59	2.6675	0.0917
A05141-125|2	A05141-115	2017	2	2009/06/03	3	4	3	2009/07/24	0.819	1.06501950585176	5	5	1	5	82.0066666666667	54.94	49.76	2	6	6	1	2009/08/01	1.06140350877193	2	58	3.4767	0.1108
Premier Russet|1	A05141-115	1065	1	2009/06/03	5	4	4	2009/07/24	2.476	1.06724137931034	5	4	1	7	93.774	57.781	53.577	3	6	5	2	2009/08/01	1.07128712871287	2	57	1.8471	0.2067
Premier Russet|2	A05141-115	2051	2	2009/06/03	3	4	4	2009/07/24	2.923	1.06252271901127	5	4	1	6	80.644	54.413	49.997	2	7	4	2	2009/08/01	1.07142857142857	2	56	1.3512	0.1196
Rio Grande Russet|1	A05141-115	1067	1	2009/06/03	3	3	1	2009/07/24	0.235	1.03070175438596	6	3	1	8	76.44 : average out of 5	34.61 : average out of 5	28.89 : average out of 5	1	2	1	1	2009/08/01	1.06382978723404	3	45	3.6833	0.875
Rio Grande Russet|2	A05141-115	2050	2	2009/06/03	5	5	4	2009/07/24	0.59	1.06115107913669	6	3	1	8	100.93 : average out of 6	40.17 : average out of 6	36.00 : average out of 6	1	5	2	1	2009/08/01	1.06711409395973	3	52	2.6192	0.679
