AccessionNum	Gene	Allele	test
LA0997	um	--	x
LA0998	bu	--	x
LA0998	dl	--	x
LA0998	l	--	x
LA0998	Pn	--	x
LA0999	dl	--	x
LA0999	tp	--	x
LA1000	ah	--	x
LA1000	nv	--	x
LA1001	ah	--	x
LA1001	marm	--	x
LA1001	pum	--	x
LA1002	ag	--	x
LA1002	h	--	x
LA1002	l-2	--	x
LA1002	lg	--	x
LA1002	pe	--	x
LA1002	t	--	x
LA1002	u	--	x
LA1003	inv	--	x
LA1003	per	--	x
LA1003	scf	--	x
LA1004	bls	--	x
LA1005	vrd	--	x
LA1006	sy	--	x
LA1007	I	--	x
LA1007	Mi	--	x
LA1007	scl	--	x
LA1007	Ve	--	x
LA1008	yg-2	aud	x
LA1009	icn	--	x
LA1012	dl	--	x
LA1012	l	--	x
LA1013	yv	--	x
LA1015	h	--	x
LA1016	dps	--	x
LA1017	ptb	--	x
LA1018	h	--	x
LA1018	Od	--	x
LA1018	ptb	--	x
LA1018	u	G	x
LA1020	H	--	x
LA1020	u	G	x
LA1022	I	--	x
LA1022	Mi	--	x
LA1022	u	--	x
LA1022	Ve	--	x
LA1024	Tm-2	a	x
LA1028	sucr	--	x
LA1038	e	--	x
LA1038	ht	--	x
LA1038	su	3	x
LA1048	ae	--	x
LA1049	af	--	x
LA1050	Crk	--	x
LA1051	Del	--	x
LA1052	d	x	x
LA1053	dpy	prov3	x
LA1054	clau	ics	x
LA1055	uf	--	x
LA1056	cjf	--	x
LA1057	yg	--	x
LA1058	rtd	--	x
LA1059	glg	--	x
LA1061	lg-5	--	x
LA1063	mu	--	x
LA1067	aut	--	x
LA1069	rl	--	x
LA1070	cur	--	x
LA1070	ru	--	x
LA1070	sf	--	x
LA1071	bls	--	x
LA1071	sf	--	x
LA1071	sy	--	x
LA1072	sf	--	x
LA1072	sy	--	x
LA1072	um	--	x
LA1073	afl	--	x
LA1073	clau	--	x
LA1074	clau	--	x
LA1074	ver	--	x
LA1075	e	--	x
LA1075	su	3	x
LA1075	ver	--	x
LA1076	ra	2	x
LA1077	ra	2	x
LA1077	w-4	--	x
LA1078	ria	--	x
LA1078	ves-2	--	x
LA1079	c	--	x
LA1079	ves-2	--	x
LA1080	yv	--	x
LA1081	tl	--	x
LA1081	yv	--	x
LA1082	era	--	x
LA1082	um	--	x
LA1083	flc	--	x
LA1083	ig	--	x
LA1084	ag	--	x
LA1084	res	--	x
LA1085	h	--	x
LA1085	res	--	x
LA1086	h	--	x
LA1086	ten	--	x
LA1088	y	--	x
LA1093	dgt	--	x
LA1096	syv	--	x
LA1097	I	--	x
LA1097	l	--	x
LA1097	sp	--	x
LA1097	u	--	x
LA1100	ah	--	x
LA1100	marm	--	x
LA1100	pla	--	x
LA1101	cn	--	x
LA1101	sf	--	x
LA1101	sy	--	x
LA1102	a	--	x
LA1102	hl	--	x
LA1102	tab	--	x
LA1103	not	--	x
LA1103	var	--	x
LA1104	deb	--	x
LA1104	not	--	x
LA1105	con	--	x
LA1105	cur	--	x
LA1106	ah	--	x
LA1106	fsc	--	x
LA1107	co	--	x
LA1107	inv	--	x
LA1108	dgt	--	x
LA1108	inv	--	x
LA1109	hl	--	x
LA1109	j	--	x
LA1109	mnt	--	x
LA1110	ag	--	x
LA1110	icn	--	x
LA1111	alb	--	x
LA1111	fd	--	x
LA1112	lut	--	x
LA1112	marm	--	x
LA1113	a	--	x
LA1113	f	--	x
LA1113	hl	--	x
LA1113	j	--	x
LA1113	ms-31	--	x
LA1114	c	--	x
LA1114	m-2	--	x
LA1114	ms-33	--	x
LA1114	yv	--	x
LA1142	hy	--	x
LA1143	fgv	--	x
LA1150	wv-2	--	x
LA1151	Cvx	--	x
LA1156	lg	--	x
LA1157	bs	--	x
LA1158	ep	--	x
LA1159	ep	--	x
LA1159	obl	--	x
LA1161	ms-49	--	x
LA1163	d	--	x
LA1163	tf	--	x
LA1163	wv	--	x
LA1164	ah	--	x
LA1164	marm	--	x
LA1164	not	--	x
LA1164	var	--	x
LA1165	a	--	x
LA1165	c	--	x
LA1165	hl	--	x
LA1165	m	--	x
LA1165	yv	--	x
LA1166	ag	--	x
LA1166	clau	--	x
LA1166	icn	--	x
LA1166	su	3	x
LA1167	dpy	--	x
LA1167	m	--	x
LA1168	d	--	x
LA1168	dpy	--	x
LA1168	m	--	x
LA1169	dgt	--	x
LA1169	scf	--	x
LA1170	cn	--	x
LA1170	con	--	x
LA1171	fd	--	x
LA1171	yg-2	aud	x
LA1172	La	--	x
LA1172	lg-5	--	x
LA1173	co	--	x
LA1173	gas	--	x
LA1175	aut	--	x
LA1175	bls	--	x
LA1176	ah	--	x
LA1176	Crk	--	x
LA1176	marm	--	x
LA1177	alb	--	x
LA1177	mua	--	x
LA1178	c	--	x
LA1178	coa	--	x
LA1178	yv	--	x
LA1179	al	--	x
LA1179	bu	--	x
LA1179	dl	--	x
LA1179	l	--	x
LA1179	ms-31	--	x
LA1180	bls	--	x
LA1180	ms-31	--	x
LA1180	sf	--	x
LA1180	sy	--	x
LA1181	alb	--	x
LA1181	sf	--	x
LA1181	sy	--	x
LA1182	alb	--	x
LA1182	mua	--	x
LA1182	sf	--	x
LA1182	sy	--	x
LA1183	ag	--	x
LA1183	clau	--	x
LA1183	icn	--	x
LA1183	ra	--	x
LA1184	au	tl	x
LA1184	dgt	--	x
LA1184	scf	--	x
LA1185	au	tl	x
LA1185	inv	--	x
LA1185	scf	--	x
LA1186	au	tl	x
LA1186	dgt	--	x
LA1186	inv	--	x
LA1186	scf	--	x
LA1187	e	--	x
LA1187	GE	P	x
LA1187	ra	--	x
LA1188	frg	--	x
LA1188	tf	--	x
LA1189	c	--	x
LA1189	pds	--	x
LA1190	pds	--	x
LA1190	yv	--	x
LA1191	ae	--	x
LA1191	spa	--	x
LA1192	ag	--	x
LA1192	hy	--	x
LA1194	aa	--	x
LA1195	bls	--	x
LA1196	ah	--	x
LA1197	lg	--	x
LA1199	pcv	--	x
LA1200	uf	--	x
LA1201	ae	--	x
LA1219	d	--	x
LA1219	u	--	x
LA1221	br	--	x
LA1221	h	--	x
LA1221	I	--	x
LA1221	Mi	--	x
LA1221	Tm-2	a	x
LA1221	Ve	--	x
LA1269	Ph-3	--	x
LA1402	j-2	in	x
LA1414	j-2	in	x
LA1430	bls	--	x
LA1430	Ln	--	x
LA1430	sf	--	x
LA1430	sy	--	x
LA1431	au	tl	x
LA1431	dgt	--	x
LA1432	wv-3	--	x
LA1433	l	--	x
LA1434	sy	--	x
LA1435	vo	--	x
LA1437	bu	cin	x
LA1441	a	--	x
LA1441	c	--	x
LA1441	coa	--	x
LA1441	hl	--	x
LA1442	dl	--	x
LA1442	glg	--	x
LA1442	marm	--	x
LA1443	al	--	x
LA1443	dgt	--	x
LA1443	l	--	x
LA1443	scf	--	x
LA1444	af	--	x
LA1444	d	--	x
LA1444	tf	--	x
LA1444	wv	--	x
LA1445	ag	--	x
LA1445	clau	--	x
LA1445	h	--	x
LA1445	icn	--	x
LA1445	su	3	x
LA1446	ah	--	x
LA1446	var	--	x
LA1484	ai	--	x
LA1485	ai	2	x
LA1486	au	6	x
LA1487	icn	--	x
LA1487	t	v	x
LA1488	ini	--	x
LA1488	neg	--	x
LA1489	c	--	x
LA1489	ves-2	--	x
LA1489	yv	--	x
LA1490	au	tl	x
LA1490	co	--	x
LA1490	dgt	--	x
LA1490	inv	--	x
LA1491	ae	--	x
LA1491	dgt	--	x
LA1491	scf	--	x
LA1491	spa	--	x
LA1492	bs	--	x
LA1492	ms-32	--	x
LA1493	au	--	x
LA1493	ms-32	--	x
LA1495	ful-3	--	x
LA1496	rv-4	--	x
LA1498	w-3	--	x
LA1500	Ip	--	x
LA1525	aa	--	x
LA1525	d	--	x
LA1526	are	--	x
LA1526	d	--	x
LA1526	wv	--	x
LA1527	c	--	x
LA1527	d-2	--	x
LA1528	a	--	x
LA1528	hl	--	x
LA1528	pcv	--	x
LA1529	au	tl	x
LA1529	co	--	x
LA1529	dgt	--	x
LA1529	inv	--	x
LA1529	scf	--	x
LA1530	au	tl	x
LA1530	com	--	x
LA1530	dgt	--	x
LA1530	inv	--	x
LA1530	scf	--	x
LA1531	Wo	v	x
LA1534	d	--	x
LA1534	tmf	--	x
LA1536	clau	--	x
LA1536	icn	--	x
LA1536	ra	--	x
LA1536	su	3	x
LA1563	Ip	--	x
LA1663	Ln	--	x
LA1663	Wo	m	x
LA1664	hp-1	--	x
LA1664	Ip	--	x
LA1665	ae	--	x
LA1665	dgt	--	x
LA1665	l	--	x
LA1665	scf	--	x
LA1666	ae	--	x
LA1666	bu	--	x
LA1666	dl	--	x
LA1666	l	--	x
LA1698	sp	--	x
LA1699	bip	--	x
LA1699	Wo	m	x
LA1700	aa	--	x
LA1700	d	--	x
LA1700	wv	--	x
LA1707	btl	--	x
LA1783	ad	--	x
LA1783	sp	--	x
LA1784	ae	afr	x
LA1784	gs	--	x
LA1784	h	--	x
LA1784	sp	--	x
LA1785	ae	afr	x
LA1785	gs	--	x
LA1785	u	--	x
LA1786	a	--	x
LA1786	bi	--	x
LA1786	c	--	x
LA1786	f	--	x
LA1786	j	--	x
LA1787	Bk-2	--	x
LA1787	en	--	x
LA1788	bs-2	--	x
LA1789	a	--	x
LA1789	sl	cs	x
LA1790	fli	--	x
LA1791	Frl	--	x
LA1791	Gp	--	x
LA1791	Tm-2	a	x
LA1792	Hero	--	x
LA1793	nor	--	x
LA1794	ri	--	x
LA1795	mc	--	x
LA1795	rin	--	x
LA1796	d	--	x
LA1796	gs	--	x
LA1796	h	--	x
LA1796	Rs	--	x
LA1797	d	--	x
LA1797	gf	--	x
LA1797	h	--	x
LA1797	Rs	--	x
LA1797	wf	--	x
LA1798	a	--	x
LA1798	h	--	x
LA1798	Rs	--	x
LA1798	wf	--	x
LA1799	rvt	--	x
LA1800	Se	--	x
LA1801	sl-2	--	x
LA1802	Sm	--	x
LA1803	sr	--	x
LA1804	sp	--	x
LA1804	sr	--	x
LA1804	u	--	x
LA1805	sr	--	x
LA1805	y	--	x
LA1806	al	--	x
LA1806	j	--	x
LA1806	ti	--	x
LA1806	wf	--	x
LA1806	y	--	x
LA1807	a	--	x
LA1807	e	--	x
LA1807	h	--	x
LA1807	mc	--	x
LA1807	ti	--	x
LA1807	u	--	x
LA1807	wf	--	x
LA1808	c	--	x
LA1808	mc	--	x
LA1808	ti	--	x
LA1810	Aps-1	n	x
LA1811	Aps-1	1	x
LA1812	Aps-1	2	x
LA1813	Aps-2	n	x
LA1814	Aps-2	1	x
LA1815	Aps-2	2	x
LA1816	Aps-2	3	x
LA1817	Est-1	n	x
LA1818	Est-1	1	x
LA1819	Est-1	2	x
LA1820	Est-1	3	x
LA1821	Est-1	4	x
LA1822	Got-1	1	x
LA1823	Got-1	2	x
LA1824	Got-2	n	x
LA1825	Got-2	1	x
LA1826	Got-2	2	x
LA1827	Got-2	3	x
LA1828	Got-2	4	x
LA1829	Got-3	n	x
LA1830	Got-3	1	x
LA1831	Got-3	2	x
LA1832	Got-3	3	x
LA1833	Got-4	n	x
LA1834	Got-4	1	x
LA1835	Got-4	2	x
LA1836	Prx-1	n	x
LA1837	Prx-1	1	x
LA1838	Prx-1	2	x
LA1839	Prx-1	3	x
LA1840	Prx-1	4	x
LA1841	Prx-1	5	x
LA1842	Prx-2	n	x
LA1843	Prx-2	1	x
LA1845	Prx-2	3	x
LA1846	Prx-3	n	x
LA1847	Prx-3	1	x
LA1848	Prx-3	2	x
LA1849	Prx-3	a1	x
LA1850	Prx-4	1	x
LA1851	Prx-4	2	x
LA1852	Prx-4	3	x
LA1853	Prx-4	4	x
LA1854	Prx-4	5	x
LA1855	Prx-4	6	x
LA1856	Prx-4	7	x
LA1857	Prx-4	8	x
LA1858	Prx-4	9	x
LA1859	Prx-4	10	x
LA1860	Prx-4	11	x
LA1861	Prx-4	12	x
LA1862	Prx-4	13	x
LA1863	Prx-4	14	x
LA1864	Prx-4	15	x
LA1865	Prx-4	16	x
LA1866	Prx-4	17	x
LA1867	Prx-4	18	x
LA1868	Prx-4	19	x
LA1869	Prx-4	20	x
LA1870	Prx-4	21	x
LA1871	Prx-4	22	x
LA1872	Prx-4	23	x
LA1873	Prx-7	1	x
LA1874	Prx-7	2	x
LA1875	Prx-7	n	x
LA1896	obv	--	x
LA1896	sp	--	x
LA1896	u	--	x
LA1908	Wo	mz	x
LA1995	rt	--	x
LA1996	Aft	--	x
LA1997	bn	sts	x
LA1998	bs-4	--	x
LA1999	btl	--	x
LA2000	buo	--	x
LA2001	car-2	--	x
LA2002	cb-2	--	x
LA2003	ck	--	x
LA2004	cu-2	--	x
LA2005	fn	--	x
LA2006	ft	--	x
LA2007	gh-2	--	x
LA2008	gm	--	x
LA2009	Ph	--	x
LA2010	ps-2	--	x
LA2011	rv-2	--	x
LA2012	sf	wl	x
LA2013	pat	--	x
LA2013	sha	--	x
LA2015	sn	--	x
LA2016	ss	--	x
LA2017	tc	--	x
LA2023	aus	--	x
LA2023	spl	--	x
LA2024	cit	--	x
LA2024	pm	--	x
LA2025	cls	--	x
LA2025	pm	--	x
LA2026	clt	--	x
LA2026	spl	--	x
LA2027	cma	--	x
LA2027	pm	--	x
LA2028	ctt	--	x
LA2028	spl	--	x
LA2029	cul	--	x
LA2029	pm	--	x
LA2030	dtt	--	x
LA2030	spl	--	x
LA2031	elu	--	x
LA2031	glm	--	x
LA2032	gbl	--	x
LA2032	spl	--	x
LA2033	dmd	--	x
LA2033	spl	--	x
LA2034	du	--	x
LA2034	spl	--	x
LA2035	eca	--	x
LA2035	pm	--	x
LA2036	elu	--	x
LA2037	fx	--	x
LA2037	spl	--	x
LA2038	frt	--	x
LA2038	spl	--	x
LA2039	elu	--	x
LA2039	fus	--	x
LA2040	gi	--	x
LA2040	pm	--	x
LA2041	elu	--	x
LA2041	gro	--	x
LA2042	ica	--	x
LA2042	pm	--	x
LA2043	ida	--	x
LA2043	pm	--	x
LA2044	lan	--	x
LA2044	pm	--	x
LA2045	elu	--	x
LA2045	li	--	x
LA2046	mcs	--	x
LA2046	spl	--	x
LA2047	mcr	--	x
LA2047	spl	--	x
LA2048	or	--	x
LA2048	pm	--	x
LA2049	pm	--	x
LA2049	pta	--	x
LA2050	pap	--	x
LA2050	pm	--	x
LA2051	psa	--	x
LA2051	spl	--	x
LA2052	pm	--	x
LA2053	pm	--	x
LA2053	pre	--	x
LA2054	elu	--	x
LA2054	ppa	--	x
LA2055	pm	--	x
LA2055	py	--	x
LA2056	pm	--	x
LA2056	r	(2s)	x
LA2057	rep-2	--	x
LA2057	spl	--	x
LA2058	elu	--	x
LA2058	so	--	x
LA2059	spl	--	x
LA2060	pm	--	x
LA2060	sta	--	x
LA2061	pm	--	x
LA2061	sup	--	x
LA2062	spl	--	x
LA2062	tn	--	x
LA2063	spl	--	x
LA2063	ub	--	x
LA2064	spl	--	x
LA2064	vt	--	x
LA2065	spl	--	x
LA2065	w-6	--	x
LA2069	br	--	x
LA2070	Frs	--	x
LA2071	d	--	x
LA2071	gf	--	x
LA2088	Asc	--	x
LA2088	I	--	x
LA2088	Tm-2	--	x
LA2088	Ve	--	x
LA2089	Epi	--	x
LA2090	ms-44	--	x
LA2336	r	--	x
LA2348	l	--	x
LA2348	x	--	x
LA2349	d	--	x
LA2349	f	--	x
LA2349	j	--	x
LA2349	p	--	x
LA2349	r	--	x
LA2349	wt	--	x
LA2350	a	--	x
LA2350	c	--	x
LA2350	ne	--	x
LA2350	p	--	x
LA2350	sp	--	x
LA2350	y	--	x
LA2351	c	--	x
LA2351	h	--	x
LA2351	l	--	x
LA2351	u	--	x
LA2352	c	--	x
LA2352	f	--	x
LA2352	j	--	x
LA2352	p	--	x
LA2353	n	--	x
LA2353	wt	--	x
LA2353	y	--	x
LA2354	br	--	x
LA2354	l	--	x
LA2354	p	--	x
LA2354	y	--	x
LA2355	sp	--	x
LA2355	ug	--	x
LA2356	Sw	a	x
LA2357	p	--	x
LA2357	r	--	x
LA2359	c	--	x
LA2359	r	--	x
LA2359	Wo	--	x
LA2359	y	--	x
LA2360	e	--	x
LA2360	l	--	x
LA2360	u	--	x
LA2360	wt	--	x
LA2361	ms-13	--	x
LA2362	ms-17	--	x
LA2363	c	--	x
LA2363	j	--	x
LA2363	t	--	x
LA2363	Wo	--	x
LA2363	wt	--	x
LA2363	y	--	x
LA2364	a	--	x
LA2364	c	--	x
LA2364	f	--	x
LA2364	j	--	x
LA2364	l	--	x
LA2364	u	--	x
LA2364	wt	--	x
LA2364	y	--	x
LA2365	r	--	x
LA2365	sp	--	x
LA2365	wd	--	x
LA2365	wf	--	x
LA2366	bk	--	x
LA2366	d	--	x
LA2366	ds	--	x
LA2366	j	--	x
LA2366	nc	--	x
LA2366	pox	--	x
LA2367	f	--	x
LA2367	m	--	x
LA2367	t	--	x
LA2367	y	--	x
LA2368	c	--	x
LA2368	j	--	x
LA2368	l	--	x
LA2368	mc	--	x
LA2368	r	--	x
LA2368	wt	--	x
LA2369	p	--	x
LA2369	Tm	--	x
LA2370	gs	--	x
LA2370	n	--	x
LA2370	wf	--	x
LA2371	c	--	x
LA2371	d	--	x
LA2371	f	--	x
LA2371	wf	--	x
LA2371	wt	--	x
LA2372	fl	--	x
LA2372	sp	--	x
LA2373	sl	--	x
LA2374	B	--	x
LA2375	Lc	--	x
LA2375	o	--	x
LA2377	B	c	x
LA2379	r	--	x
LA2379	wf	--	x
LA2396	Pto	--	x
LA2397	up	--	x
LA2398	cu-3	--	x
LA2399	sp	--	x
LA2400	sp	--	x
LA2400	u	--	x
LA2413	pat-2	--	x
LA2415	Est-1	1	x
LA2416	Adh-1	1	x
LA2417	Adh-1	2	x
LA2418	Est-1	1	x
LA2419	Est-1	5	x
LA2420	Est-2	1	x
LA2421	Est-3	1	x
LA2422	Est-4	1	x
LA2423	Est-4	2	x
LA2424	Est-4	3	x
LA2425	Est-4	4	x
LA2426	Est-4	5	x
LA2427	Est-4	6	x
LA2428	Est-4	7	x
LA2429	Est-4	8	x
LA2430	Est-5	1	x
LA2431	Est-6	1	x
LA2432	Est-7	1	x
LA2433	Est-7	2	x
LA2434	Pgdh-3	1	x
LA2435	Pgi-1	1	x
LA2436	Pgi-1	2	x
LA2437	Pgm-1	1	x
LA2438	Pgm-2	1	x
LA2439	Skdh-1	1	x
LA2440	Tpi-2	1	x
LA2441	d	--	x
LA2441	m-2	--	x
LA2441	mc	--	x
LA2441	rvt	--	x
LA2441	t	--	x
LA2441	u	--	x
LA2442	ae	afr	x
LA2443	Cf-1	--	x
LA2444	Cf-2	--	x
LA2445	Cf-3	--	x
LA2446	Cf-4	--	x
LA2447	Cf-1	3	x
LA2448	Cf-6	--	x
LA2449	Cf-7	--	x
LA2450	bu	cin-2	x
LA2451	hp-2	dg	x
LA2452	B	og	x
LA2452	f	--	x
LA2452	gf	--	x
LA2452	y	--	x
LA2453	Gr	--	x
LA2453	u	--	x
LA2454	neg	ne-2	x
LA2454	u	--	x
LA2455	Nr-2	--	x
LA2456	h	--	x
LA2456	u	--	x
LA2457	pdw	--	x
LA2457	so	--	x
LA2457	u	--	x
LA2458	j-2	--	x
LA2458	Pto	--	x
LA2458	sp	--	x
LA2458	u	--	x
LA2459A	rd	--	x
LA2459B	rd	--	x
LA2460	sft	--	x
LA2461	sp	--	x
LA2461	stu	--	x
LA2461	u	--	x
LA2462	tmf	--	x
LA2463	ul	--	x
LA2464A	aer-2	--	x
LA2464A	r	--	x
LA2464A	upg	--	x
LA2464A	y	--	x
LA2464B	r	--	x
LA2464B	u	--	x
LA2464B	upg	--	x
LA2464B	y	--	x
LA2465	sp	--	x
LA2465	u	--	x
LA2465	v-2	--	x
LA2466	d	--	x
LA2466	t	v	x
LA2466	v-3	--	x
LA2467	lg	--	x
LA2467	pe	--	x
LA2467	u	--	x
LA2467	vi	--	x
LA2468	yc	--	x
LA2469A	yg-2	--	x
LA2469B	yg-2	--	x
LA2470	Xa	--	x
LA2471	Xa-2	--	x
LA2472	Xa-3	--	x
LA2473	alb	--	x
LA2473	c	--	x
LA2473	gra	--	x
LA2473	sft	--	x
LA2474	d	--	x
LA2474	gq	--	x
LA2474	pst	--	x
LA2474	ug	--	x
LA2474	y	--	x
LA2475	al	--	x
LA2475	gs	--	x
LA2475	h	--	x
LA2475	hp-1	--	x
LA2475	inc	--	x
LA2475	Nr	--	x
LA2475	tf	--	x
LA2475	ug	--	x
LA2476	af	--	x
LA2476	d	--	x
LA2476	marm	--	x
LA2476	mc	--	x
LA2476	ro	--	x
LA2476	rvt	--	x
LA2476	sf	--	x
LA2476	sp	--	x
LA2477	cjf	--	x
LA2477	h	--	x
LA2477	l	--	x
LA2477	sp	--	x
LA2477	u	--	x
LA2477	vo	--	x
LA2477	wf	--	x
LA2478	ae	afr	x
LA2478	gs	--	x
LA2478	h	--	x
LA2478	r	--	x
LA2479	ck	--	x
LA2479	d	--	x
LA2479	p	--	x
LA2479	s	--	x
LA2480	aw	--	x
LA2480	ck	--	x
LA2480	d	--	x
LA2480	m	--	x
LA2480	o	--	x
LA2480	p	--	x
LA2481	bls	--	x
LA2481	com	in	x
LA2481	fn	--	x
LA2481	gs	--	x
LA2481	mc	--	x
LA2481	wf	--	x
LA2482	c	--	x
LA2482	fu	--	x
LA2482	gs	--	x
LA2482	h	--	x
LA2482	hp-1	--	x
LA2482	mc	--	x
LA2482	r	--	x
LA2482	u	--	x
LA2482	wf	--	x
LA2483	fu	--	x
LA2483	gs	--	x
LA2483	hp-1	--	x
LA2483	mc	--	x
LA2483	pdw	--	x
LA2483	u	--	x
LA2483	wf	--	x
LA2485	a	--	x
LA2485	c	--	x
LA2485	d	--	x
LA2485	gf	--	x
LA2485	gs	--	x
LA2485	h	--	x
LA2485	inc	--	x
LA2485	l	--	x
LA2485	mc	--	x
LA2485	r	--	x
LA2485	wf	--	x
LA2485	y	--	x
LA2486	inc	--	x
LA2486	pds	--	x
LA2486	sp	--	x
LA2486	t	--	x
LA2486	u	--	x
LA2487	c	int	x
LA2487	sp	--	x
LA2487	t	--	x
LA2487	u	--	x
LA2488	a	--	x
LA2488	alb	--	x
LA2488	h	--	x
LA2488	mon	--	x
LA2488	r	--	x
LA2488	y	--	x
LA2489	a	--	x
LA2489	neg	ne-2	x
LA2490	dl	--	x
LA2490	mc	--	x
LA2490	pdw	--	x
LA2490	pst	--	x
LA2491	c	--	x
LA2491	dl	--	x
LA2491	gs	--	x
LA2491	h	--	x
LA2491	j	--	x
LA2491	mc	--	x
LA2491	stu	--	x
LA2491	u	--	x
LA2492	a	--	x
LA2492	e	--	x
LA2492	mc	--	x
LA2492	ti	--	x
LA2492	u	--	x
LA2492	wf	--	x
LA2493	ag	--	x
LA2493	h	--	x
LA2493	hy	--	x
LA2493	Xa-2	--	x
LA2494	h	--	x
LA2494	l-2	--	x
LA2494	t	--	x
LA2494	u	--	x
LA2495	ag	--	x
LA2495	al	--	x
LA2495	h	--	x
LA2495	ten	--	x
LA2495	Xa-2	--	x
LA2496	h	--	x
LA2496	l-2	--	x
LA2496	t	--	x
LA2496	Xa-2	--	x
LA2497	ag	--	x
LA2497	h	--	x
LA2497	hy	--	x
LA2497	icn	--	x
LA2497	u	--	x
LA2498	h	--	x
LA2498	u	--	x
LA2498	Xa-3	--	x
LA2499	nor	--	x
LA2499	t	--	x
LA2499	u	--	x
LA2500	h	--	x
LA2500	icn	--	x
LA2500	u	--	x
LA2501	ag	--	x
LA2501	h	--	x
LA2501	icn	--	x
LA2501	u	--	x
LA2502	auv	--	x
LA2502	h	--	x
LA2502	l-2	--	x
LA2502	t	v	x
LA2502	u	--	x
LA2503	ag	--	x
LA2503	h	--	x
LA2503	l-2	--	x
LA2503	t	v	x
LA2503	u	--	x
LA2504	ag	--	x
LA2504	h	--	x
LA2504	nd	--	x
LA2504	t	--	x
LA2504	u	--	x
LA2505	ag	--	x
LA2505	l-2	--	x
LA2505	t	--	x
LA2505	u	--	x
LA2505	Xa	--	x
LA2506	ag	--	x
LA2506	h	--	x
LA2506	l-2	--	x
LA2506	oli	--	x
LA2506	t	v	x
LA2507	ag	--	x
LA2507	h	--	x
LA2507	nd	--	x
LA2507	t	--	x
LA2508	ag	--	x
LA2508	h	--	x
LA2508	t	--	x
LA2508	Xa	--	x
LA2509	ag	--	x
LA2509	l-2	--	x
LA2509	oli	--	x
LA2509	t	v	x
LA2509	wf	--	x
LA2510	a	--	x
LA2510	d	--	x
LA2510	gf	--	x
LA2510	gs	--	x
LA2510	h	--	x
LA2510	inc	--	x
LA2510	mc	--	x
LA2510	r	--	x
LA2510	wf	--	x
LA2511	c	--	x
LA2511	gf	--	x
LA2511	stu	--	x
LA2511	u	--	x
LA2511	vo	--	x
LA2511	wf	--	x
LA2512	c	--	x
LA2512	gf	--	x
LA2512	gs	--	x
LA2512	h	--	x
LA2512	hp-1	--	x
LA2512	lg	--	x
LA2512	m-2	--	x
LA2512	marm	--	x
LA2512	pe	--	x
LA2512	r	--	x
LA2512	wf	--	x
LA2512	y	--	x
LA2513	a	--	x
LA2513	c	--	x
LA2513	d	--	x
LA2513	gf	--	x
LA2513	gs	--	x
LA2513	h	--	x
LA2513	marm	--	x
LA2513	mc	--	x
LA2513	r	--	x
LA2513	wf	--	x
LA2513	y	--	x
LA2514	at	--	x
LA2514	c	--	x
LA2514	d	--	x
LA2514	gs	--	x
LA2514	m-2	--	x
LA2514	mc	--	x
LA2514	sp	--	x
LA2514	u	--	x
LA2514	y	--	x
LA2514	yg-2	--	x
LA2515	a	--	x
LA2515	c	--	x
LA2515	gf	--	x
LA2515	gs	--	x
LA2515	m-2	--	x
LA2515	r	--	x
LA2515	sp	--	x
LA2515	u	--	x
LA2515	wf	--	x
LA2515	y	--	x
LA2515	yg-2	--	x
LA2516	c	--	x
LA2516	cjf	--	x
LA2516	h	--	x
LA2516	j	--	x
LA2516	lg	--	x
LA2516	pe	--	x
LA2516	r	--	x
LA2516	rvt	--	x
LA2516	tmf	--	x
LA2516	u	--	x
LA2516	vo	--	x
LA2516	wf	--	x
LA2517	c	--	x
LA2517	gf	--	x
LA2517	gs	--	x
LA2517	h	--	x
LA2517	hp-1	--	x
LA2517	m-2	--	x
LA2517	marm	--	x
LA2517	r	--	x
LA2517	rvt	--	x
LA2517	wf	--	x
LA2518	c	--	x
LA2518	dgt	dp	x
LA2518	gf	--	x
LA2518	gs	--	x
LA2518	h	--	x
LA2518	m-2	--	x
LA2519	c	--	x
LA2519	cl	--	x
LA2519	gf	--	x
LA2519	gs	--	x
LA2519	h	--	x
LA2519	hp-1	--	x
LA2519	mc	--	x
LA2519	r	--	x
LA2519	wf	--	x
LA2520	c	--	x
LA2520	gs	--	x
LA2520	h	--	x
LA2520	hp-1	--	x
LA2520	l	--	x
LA2520	m-2	--	x
LA2520	marm	--	x
LA2520	mc	--	x
LA2520	r	--	x
LA2520	wf	--	x
LA2521	a	--	x
LA2521	c	--	x
LA2521	clau	--	x
LA2521	gf	--	x
LA2521	gs	--	x
LA2521	h	--	x
LA2521	m-2	--	x
LA2521	marm	--	x
LA2521	r	--	x
LA2521	u	--	x
LA2522	c	--	x
LA2522	gf	--	x
LA2522	h	--	x
LA2522	hp-1	--	x
LA2522	m-2	--	x
LA2522	marm	--	x
LA2522	mc	--	x
LA2522	r	--	x
LA2523	c	--	x
LA2523	h	--	x
LA2523	j	--	x
LA2523	mc	--	x
LA2523	pdw	--	x
LA2523	r	--	x
LA2523	u	--	x
LA2524	af	--	x
LA2524	sd	--	x
LA2525	af	--	x
LA2525	sd	--	x
LA2526	dgt	dp	x
LA2526	sp	--	x
LA2526	u	--	x
LA2527	l	--	x
LA2527	sp	--	x
LA2527	u	--	x
LA2528	j	--	x
LA2528	sf	--	x
LA2528	ti	--	x
