AccessionNum	Gene	Allele	test
LA0259	hl	--	x
LA0260	ah	--	x
LA0269	sl	--	x
LA0270	ro	--	x
LA0271	aw	--	x
LA0271	O.	1	x
LA0271	u	--	x
LA0272	cm	--	x
LA0273	sp	--	x
LA0273	tf	--	x
LA0273	u	--	x
LA0274	d	--	x
LA0274	l	--	x
LA0274	w	--	x
LA0275	w-3	--	x
LA0276	I	--	x
LA0276	Ve	--	x
LA0279	hp-1	--	x
LA0281	e	--	x
LA0281	t	--	x
LA0281	u	--	x
LA0282	c	--	x
LA0282	d	--	x
LA0282	mt	--	x
LA0283	dl	--	x
LA0283	Xa	--	x
LA0284	al	--	x
LA0284	d	--	x
LA0284	H	--	x
LA0284	rv	--	x
LA0285	al	--	x
LA0285	H	--	x
LA0285	rv	--	x
LA0285	wt	--	x
LA0286	d	--	x
LA0286	m	--	x
LA0287	d	--	x
LA0287	dv	--	x
LA0287	m	--	x
LA0288	al	--	x
LA0288	dl	--	x
LA0288	H	--	x
LA0288	yv	--	x
LA0289	al	--	x
LA0289	dl	--	x
LA0289	wt	--	x
LA0289	yv	--	x
LA0290	a	--	x
LA0290	d	--	x
LA0290	ms-18	--	x
LA0291	a	--	x
LA0291	hl	--	x
LA0291	ms-02	--	x
LA0292	Od	--	x
LA0293	j	--	x
LA0293	ms-10	--	x
LA0294	B	og	x
LA0295	gh	--	x
LA0296	br	--	x
LA0296	wf	--	x
LA0297	Nr	--	x
LA0297	tf	--	x
LA0297	ug	--	x
LA0298	dv	--	x
LA0298	tf	--	x
LA0298	Wo	--	x
LA0298	Xa	--	x
LA0299	ag	--	x
LA0299	rv	--	x
LA0299	wf	--	x
LA0300	ag	--	x
LA0300	dv	--	x
LA0300	u	--	x
LA0301	bu	--	x
LA0301	yv	--	x
LA0302	ag	--	x
LA0302	dv	--	x
LA0302	h	--	x
LA0302	sp	--	x
LA0303	ah	--	x
LA0303	rv	--	x
LA0304	ah	--	x
LA0304	dl	--	x
LA0304	yv	--	x
LA0305	ah	--	x
LA0305	wo	m	x
LA0306	ah	--	x
LA0306	c	--	x
LA0306	d	--	x
LA0306	l	--	x
LA0307	dl	--	x
LA0307	Wo	m	x
LA0307	yv	--	x
LA0308	ag	--	x
LA0308	dv	--	x
LA0308	H	--	x
LA0308	sp	--	x
LA0309	tf	--	x
LA0309	Wo	m	x
LA0310	d	--	x
LA0310	Wo	m	x
LA0311	d	--	x
LA0311	rv	--	x
LA0311	wt	--	x
LA0312	cm	--	x
LA0312	f	--	x
LA0312	u	--	x
LA0312	vms	--	x
LA0313	d	--	x
LA0315	j-2	--	x
LA0316	B	--	x
LA0318	ms-16	--	x
LA0319	ms-17	--	x
LA0320	a	--	x
LA0320	d	--	x
LA0320	l	--	x
LA0321	a	--	x
LA0321	c	--	x
LA0321	d	--	x
LA0321	l	--	x
LA0321	ms-17	--	x
LA0322	a	--	x
LA0322	e	--	x
LA0322	wf	--	x
LA0323	a	--	x
