Accession	Status	Accession Category	Taxon (Lycopersicon)	Taxon2 (Solanum)	Collection Site	Province Or Department	Country
LA2166	Active	Wild species	S. ochranthum	S. ochranthum	Pacopampa	Cajamarca	Peru
LA2203	Unavailable	Wild species	S. ochranthum	S. ochranthum	Pomacochas	Amazonas	Peru
LA2682	Active	Wild species	S. ochranthum	S. ochranthum	Chinchaypujio	Cusco	Peru
LA3649	Unavailable	Wild species	S. ochranthum	S. ochranthum	Curpahuasi	Apurimac	Peru
LA3650	Unavailable	Wild species	S. ochranthum	S. ochranthum	Choquemaray	Apurimac	Peru
LA0716	Active	Wild species	L. pennellii	S. pennellii	Atico	Arequipa	Peru
LA0750	Active	Wild species	L. pennellii var. puberulum	S. pennellii	Palpa to Nazca	Ica	Peru
LA0751	Active	Wild species	L. pennellii	S. pennellii	Sisacaya	Lima	Peru
LA1272	Active	Wild species	L. pennellii	S. pennellii	Pisaquera	Lima	Peru
LA1273	Active	Wild species	L. pennellii	S. pennellii	Cayan	Lima	Peru
LA1275	Active	Wild species	L. pennellii	S. pennellii	Quilca road junction	Lima	Peru
LA1277	Active	Wild species	L. pennellii	S. pennellii	Trapiche	Lima	Peru
LA1282	Active	Wild species	L. pennellii	S. pennellii	Sisacaya	Lima	Peru
LA1297	Active	Wild species	L. pennellii	S. pennellii	Pucara	Lima	Peru
LA1299	Active	Wild species	L. pennellii	S. pennellii	Santa Rosa de Quives	Lima	Peru
LA1302	Active	Wild species	L. pennellii	S. pennellii	Quita Sol	Ica	Peru
LA1303	Active	Wild species	L. pennellii	S. pennellii	Pampano	Huancavelica	Peru
LA1340	Active	Wild species	L. pennellii	S. pennellii	Capillucas	Lima	Peru
LA1356	Active	Wild species	L. pennellii	S. pennellii	Moro	Ancash	Peru
LA1367	Active	Wild species	L. pennellii	S. pennellii	Santa Eulalia	Lima	Peru
LA1376	Active	Wild species	L. pennellii	S. pennellii	Sayan	Lima	Peru
LA1515	Active	Wild species	L. pennellii	S. pennellii	Sayan to Churin	Lima	Peru
LA1522	Active	Wild species	L. pennellii	S. pennellii	Quintay	Lima	Peru
LA1523	Unavailable	Wild species	L. pennellii	S. pennellii	Irrigacion Santa Rosa	Lima	Peru
LA1649	Active	Wild species	L. pennellii var. puberulum	S. pennellii	Molina	Ica	Peru
LA1656	Active	Wild species	L. pennellii	S. pennellii	Marca to Chincha	Ica	Peru
LA1657	Active	Wild species	L. pennellii	S. pennellii	Buena Vista to Yautan	Ancash	Peru
LA1674	Active	Wild species	L. pennellii	S. pennellii	Toparilla Canyon	Lima	Peru
LA1693	Active	Wild species	L. pennellii	S. pennellii	Quebrada Machuranga	Lima	Peru
LA1724	Active	Wild species	L. pennellii	S. pennellii	La Quinga	Ica	Peru
LA1732	Active	Wild species	L. pennellii	S. pennellii	Rio San Juan	Huancavelica	Peru
LA1733	Active	Wild species	L. pennellii	S. pennellii	Rio Canete	Lima	Peru
LA1734	Active	Wild species	L. pennellii	S. pennellii	Rio Canete	Lima	Peru
LA1735	Active	Wild species	L. pennellii	S. pennellii	Rio Canete	Lima	Peru
LA1773	Unavailable	Wild species	L. pennellii	S. pennellii	Rio Casma	Ancash	Peru
LA1809	Active	Wild species	L. pennellii	S. pennellii	El Horador (playa)	Piura	Peru
LA1911	Active	Wild species	L. pennellii var. puberulum	S. pennellii	Locari	Ica	Peru
LA1912	Active	Wild species	L. pennellii var. puberulum	S. pennellii	Cerro Locari	Ica	Peru
LA1920	Active	Wild species	L. pennellii var. puberulum	S. pennellii	Cachiruma	Ayacucho	Peru
LA1926	Active	Wild species	L. pennellii var. puberulum	S. pennellii	Agua Perdida	Ica	Peru
LA1940	Active	Wild species	L. pennellii	S. pennellii	Rio Atico, Km 26	Arequipa	Peru
LA1941	Active	Wild species	L. pennellii	S. pennellii	Rio Atico, Km 41	Arequipa	Peru
LA1942	Active	Wild species	L. pennellii	S. pennellii	Rio Atico, Km 54	Arequipa	Peru
LA1943	Active	Wild species	L. pennellii	S. pennellii	Rio Atico, Km 61	Arequipa	Peru
LA1946	Active	Wild species	L. pennellii	S. pennellii	Caraveli	Arequipa	Peru
LA2560	Active	Wild species	L. pennellii	S. pennellii	Santa to Huaraz	Ancash	Peru
LA2580	Active	Wild species	L. pennellii	S. pennellii	Valle de Casma	Ancash	Peru
LA2588	Unavailable	Wild species	L. pennellii	S. pennellii			
LA2657	Active	Wild species	L. pennellii	S. pennellii	Bayovar	Piura	Peru
LA2720	Unavailable	Wild species	L. pennellii	S. pennellii	Pacaran-Catahuasi	Lima	Peru
LA2963	Active	Wild species	L. pennellii	S. pennellii	Acoy	Arequipa	Peru
LA3635	Unavailable	Wild species	L. pennellii	S. pennellii	Omas	Lima	Peru
LA3665	Unavailable	Wild species	L. pennellii var. puberulum	S. pennellii	Rio Santa Cruz	Ica	Peru
LA3778	Unavailable	Wild species	L. pennellii var. puberulum	S. pennellii	Palpa to Nazca	Ica	Peru
LA3788	Unavailable	Wild species	L. pennellii	S. pennellii	Rio Atico, Km 10	Arequipa	Peru
LA3789	Unavailable	Wild species	L. pennellii	S. pennellii	Rio Atico, Km 26	Arequipa	Peru
LA3791	Unavailable	Wild species	L. pennellii	S. pennellii	Caraveli	Arequipa	Peru
LA0098	Active	Wild species	L. peruvianum	S. peruvianum	Chilca	Lima	Peru
LA0111	Active	Wild species	L. peruvianum	S. peruvianum	Supe	Lima	Peru
LA0153	Active	Wild species	L. peruvianum	S. peruvianum	Culebras	Ancash	Peru
LA0370	Active	Wild species	L. peruvianum	S. peruvianum	Hacienda Huampani	Lima	Peru
LA0371	Active	Wild species	L. peruvianum	S. peruvianum	Supe	Lima	Peru
LA0372	Active	Wild species	L. peruvianum	S. peruvianum	Culebras #1	Ancash	Peru
LA0374	Unavailable	Wild species	L. peruvianum	S. peruvianum	Culebras #2	Ancash	Peru
LA0445	Active	Wild species	L. peruvianum	S. peruvianum	Chincha #2	Ica	Peru
LA0446	Active	Wild species	L. peruvianum	S. peruvianum	Lomas de Atiquipa	Arequipa	Peru
LA0448	Active	Wild species	L. peruvianum	S. peruvianum	Chala	Arequipa	Peru
LA0453	Active	Wild species	L. peruvianum	S. peruvianum	Yura #2	Arequipa	Peru
LA0454	Active	Wild species	L. peruvianum	S. peruvianum	Tambo	Arequipa	Peru
LA0455	Active	Wild species	L. peruvianum	S. peruvianum	Tambo	Arequipa	Peru
LA0462	Active	Wild species	L. peruvianum	S. peruvianum	Sobraya	Arica and Parinacota	Chile
LA0464	Active	Wild species	L. peruvianum	S. peruvianum	Hacienda Rosario	Arica and Parinacota	Chile
LA0752	Active	Wild species	L. peruvianum	S. peruvianum	Sisicaya	Lima	Peru
LA1161	Active	Wild species	L. peruvianum	S. peruvianum	Huachipa	Lima	Peru
LA1270	Active	Wild species	L. peruvianum	S. peruvianum	Pisiquillo	Lima	Peru
LA1278	Active	Wild species	L. peruvianum	S. peruvianum	Trapiche	Lima	Peru
LA1300	Active	Wild species	L. peruvianum	S. peruvianum	Santa Rosa de Quives	Lima	Peru
LA1333	Active	Wild species	L. peruvianum	S. peruvianum	Loma Camana	Arequipa	Peru
LA1336	Active	Wild species	L. peruvianum	S. peruvianum	Atico	Arequipa	Peru
LA1337	Active	Wild species	L. peruvianum	S. peruvianum	Atiquipa	Arequipa	Peru
LA1368	Active	Wild species	L. peruvianum	S. peruvianum	San Jose de Palla	Lima	Peru
LA1369	Active	Wild species	L. peruvianum	S. peruvianum	San Geronimo	Lima	Peru
LA1474	Active	Wild species	L. peruvianum	S. peruvianum	Lomas de Camana	Arequipa	Peru
LA1475	Unavailable	Wild species	L. peruvianum	S. peruvianum	Fundo 'Los Anitos', Barranca	Lima	Peru
LA1513	Active	Wild species	L. peruvianum	S. peruvianum	Atiquipa	Arequipa	Peru
LA1517	Active	Wild species	L. peruvianum	S. peruvianum	Irrigacion Santa Rosa	Lima	Peru
LA1537	Active	Wild species	L. peruvianum	S. peruvianum	Azapa Valley	Tarapaca	CHILE
LA1556	Active	Wild species	L. peruvianum	S. peruvianum	Hacienda Higuereta	Lima	Peru
LA1616	Active	Wild species	L. peruvianum	S. peruvianum	La Rinconada	Lima	Peru
LA1675	Unavailable	Wild species	L. peruvianum	S. peruvianum	Toparilla Canyon	Lima	Peru
LA1692	Active	Wild species	L. peruvianum	S. peruvianum	Putinza	Lima	Peru
LA1913	Active	Wild species	L. peruvianum	S. peruvianum	Tinguiayog	Ica	Peru
LA1929	Active	Wild species	L. peruvianum	S. peruvianum	La Yapana	Ica	Peru
LA1935	Active	Wild species	L. peruvianum	S. peruvianum	Lomas de Atiquipa	Arequipa	Peru
LA1947	Active	Wild species	L. peruvianum	S. peruvianum	Puerto Atico	Arequipa	Peru
LA1949	Active	Wild species	L. peruvianum	S. peruvianum	Las Calaveritas	Arequipa	Peru
LA1951	Active	Wild species	L. peruvianum	S. peruvianum	Ocona	Arequipa	Peru
LA1954	Active	Wild species	L. peruvianum	S. peruvianum	Mollendo	Arequipa	Peru
LA1955	Active	Wild species	L. peruvianum	S. peruvianum	Matarani	Arequipa	Peru
LA1975	Unavailable	Wild species	L. peruvianum	S. peruvianum	Desvio Santo Domingo	Lima	Peru
LA1977	Active	Wild species	L. peruvianum	S. peruvianum	Orcocoto	Lima	Peru
LA1989	Active	Wild species	L. peruvianum	S. peruvianum	(self-fertile, bilaterally compatible selection)		
LA2573	Unavailable	Wild species	L. peruvianum	S. peruvianum	Valle de Casma	Ancash	Peru
LA2581	Active	Wild species	L. peruvianum	S. peruvianum	Chacarilla (4x)	Arica and Parinacota	Chile
LA2732	Active	Wild species	L. peruvianum	S. peruvianum	Moquella	Tarapaca	Chile
LA2742	Unavailable	Wild species	L. peruvianum	S. peruvianum	Camarones-Guancarane	Arica and Parinacota	Chile
LA2744	Active	Wild species	L. peruvianum	S. peruvianum	Sobraya	Arica and Parinacota	Chile
LA2745	Active	Wild species	L. peruvianum	S. peruvianum	Pan de Azucar	Arica and Parinacota	Chile
LA2770	Unavailable	Wild species	L. peruvianum	S. peruvianum	Lluta valley	Arica and Parinacota	Chile
LA2834	Active	Wild species	L. peruvianum	S. peruvianum	Hacienda Asiento	Ica	Peru
LA2955B	Unavailable	Wild species	L. peruvianum	S. peruvianum	Quistagama-Quisama	Tarapaca	CHILE
LA2959	Active	Wild species	L. peruvianum	S. peruvianum	Chaca to Caleta Vitor	Arica and Parinacota	Chile
LA2964	Active	Wild species	L. peruvianum	S. peruvianum	Quebrada de Burros	Tacna	Peru
LA3218	Active	Wild species	L. peruvianum	S. peruvianum	Quebrada Guerrero	Arequipa	Peru
LA3220	Active	Wild species	L. peruvianum	S. peruvianum	Cocachacra	Arequipa	Peru
LA3636	Unavailable	Wild species	L. peruvianum	S. peruvianum	Coayllo	Lima	Peru
LA3640	Active	Wild species	L. peruvianum	S. peruvianum	Mexico City		Mexico
LA3781	Unavailable	Wild species	L. peruvianum	S. peruvianum	Quebrada Oscollo (Atico)	Arequipa	Peru
LA3783	Unavailable	Wild species	L. peruvianum	S. peruvianum	Rio Chaparra	Arequipa	Peru
LA3787	Unavailable	Wild species	L. peruvianum	S. peruvianum	Alta Chaparra	Arequipa	Peru
LA3790	Unavailable	Wild species	L. peruvianum	S. peruvianum	Caraveli	Arequipa	Peru
LA3795	Unavailable	Wild species	L. peruvianum	S. peruvianum	Alta Fortaleza	Ancash	Peru
LA3797	Unavailable	Wild species	L. peruvianum	S. peruvianum	Anca, Marca (Rio Fortaleza)	Ancash	Peru
LA3799	Unavailable	Wild species	L. peruvianum	S. peruvianum	Río Pativilca	Ancash	Peru
LA3853	Unavailable	Wild species	L. peruvianum	S. peruvianum	Mollepampa	La Libertad	Peru
LA3858	Active	Wild species	L. peruvianum	S. peruvianum	Canta	Lima	Peru
LA3900	Active	Wild species	L. peruvianum	S. peruvianum	(CMV tolerant selection)		
LA4125	Active	Wild species	L. peruvianum	S. peruvianum	Camina	Tarapaca	Chile
LA4317	Active	Wild species	L. peruvianum	S. peruvianum	Rio Lluta, desembocadura	Arica and Parinacota	Chile
LA4318	Active	Wild species	L. peruvianum	S. peruvianum	Sora - Molinos, Rio Lluta	Arica and Parinacota	Chile
LA4325	Active	Wild species	L. peruvianum	S. peruvianum	Caleta Vitor	Arica and Parinacota	Chile
LA4328	Unavailable	Wild species	L. peruvianum	S. peruvianum	Pachica, Rio Camarones	Arica and Parinacota	Chile
LA4445	Active	Wild species	L. peruvianum	S. peruvianum	Azapa Valley, 27 km from Arica	Arica and Parinacota	CHILE
LA4446	Active	Wild species	L. peruvianum	S. peruvianum	Azapa Valley, Km 37 from Arica	Arica and Parinacota	CHILE
LA4447	Unavailable	Wild species	L. peruvianum	S. peruvianum	Azapa Valley, Km 27 and Km 37 from Arica	Tarapaca	CHILE
LA0100	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Cantuta (Rimac Valley)	Lima	Peru
LA0114	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pacasmayo	La Libertad	Peru
LA0121	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Trujillo	La Libertad	Peru
LA0122	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Poroto	La Libertad	Peru
LA0369	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Cantuta (Rimac Valley)	Lima	Peru
LA0373	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Culebras #1	Ancash	Peru
LA0375	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Culebras #2	Ancash	Peru
LA0376	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Chiclin	La Libertad	Peru
LA0381	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pongo	La Libertad	Peru
LA0391	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Magdalena (Rio Jequetepeque)	Cajamarca	Peru
LA0397	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Tuman	Lambayeque	Peru
LA0398	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Carrizal	Cajamarca	Peru
LA0400	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Buenos Aires	Piura	Peru
LA0411	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pichilingue	Los Rios	Ecuador
LA0412	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pichilingue	Los Rios	Ecuador
LA0413	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cerecita	Guayas	Ecuador
LA0417	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Punta Polvora, Isla Puna	Guayas	Ecuador
LA0418	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Daule	Guayas	Ecuador
LA0420	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	El Empalme	Guayas	Ecuador
LA0442	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Sechin	Ancash	Peru
LA0443	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pichilingue	Los Rios	Ecuador
LA0480	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Santa Inez	Ica	Peru
LA0722	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Trujillo	La Libertad	Peru
LA0753	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Lurin	Lima	Peru
LA1236	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hotel Tinalandia, Santo Domingo	Pichincha	Ecuador
LA1237	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Atacames	Esmeraldas	Ecuador
LA1242	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Los Sapos	Guayas	Ecuador
LA1243	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Murillo finca	Guayas	Ecuador
LA1245	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santa Rosa	El Oro	Ecuador
LA1246	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Toma	Loja	Ecuador
LA1248	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Monterrey	Loja	Ecuador
LA1256	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Naranjal	Guayas	Ecuador
LA1257	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Las Mercedes	Guayas	Ecuador
LA1258	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Voluntario de Dios	Guayas	Ecuador
LA1259	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Catarama	Los Rios	Ecuador
LA1260	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pueblo Viejo	Los Rios	Ecuador
LA1261	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Babahoyo	Los Rios	Ecuador
LA1262	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Milagro Empalme	Guayas	Ecuador
LA1263	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Barranco Chico	Guayas	Ecuador
LA1269	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pisiquillo	Lima	Peru
LA1279	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cieneguilla	Lima	Peru
LA1280	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chontay	Lima	Peru
LA1301	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda San Ignacio	Ica	Peru
LA1332	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Nazca area?	Ica	Peru
LA1335	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pescadores	Arequipa	Peru
LA1341	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Huampani	Lima	Peru
LA1342	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Casma	Ancash	Peru
LA1343	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Puente Chao	La Libertad	Peru
LA1344	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Laredo	La Libertad	Peru
LA1345	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Samne	La Libertad	Peru
LA1348	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pacasmayo	La Libertad	Peru
LA1349	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cuculi	Lambayeque	Peru
LA1355	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Nepena	Ancash	Peru
LA1357	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Jimbe	Ancash	Peru
LA1359	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Crau	Ancash	Peru
LA1370	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	San Jose de Palla	Lima	Peru
LA1371	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santa Eulalia	Lima	Peru
LA1374	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Ingenio	Ica	Peru
LA1375	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	San Vicente de Canete	Lima	Peru
LA1380	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chanchape	Piura	Peru
LA1381	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Naupe	Lambayeque	Peru
LA1382	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chachapoyas to Balsas	Amazonas	Peru
LA1383	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chachapoyas to Bagua	Amazonas	Peru
LA1384	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Quebrada Parca	Lima	Peru
LA1416	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Las Delicias	Pichincha	Ecuador
LA1428	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Estancilla	Manabi	Ecuador
LA1466	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chongoyape	Lambayeque	Peru
LA1469	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	El Pilar, Olmos	Lambayeque	Peru
LA1470	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Motupe to Desvio Olmos-Bagua	Lambayeque	Peru
LA1471	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Motupe to  Jayanca	Lambayeque	Peru
LA1472	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Quebrada Topara	Lima	Peru
LA1478	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santo Tome (Pabur)	Piura	Peru
LA1514	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Sayan to Churin	Lima	Peru
LA1520	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Sayan to Churin	Lima	Peru
LA1521	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	El Pinon, Asia	Lima	Peru
LA1547	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Chota to El Angel	Carchi	Ecuador
LA1561	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	San Eusebio	Lima	Peru
LA1562	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cieneguilla	Lima	Peru
LA1571	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	San Jose de Palle	Lima	Peru
LA1572	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Huampani	Lima	Peru
LA1573	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Nana	Lima	Peru
LA1575	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Huaycan	Lima	Peru
LA1576	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Manchay Alta	Lima	Peru
LA1577	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cartavio	La Libertad	Peru
LA1578	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santa Marta	La Libertad	Peru
LA1579	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Colegio Punto Cuatro #1	Lambayeque	Peru
LA1580	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Colegio Punto Cuatro #2	Lambayeque	Peru
LA1581	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Punto Cuatro	Lambayeque	Peru
LA1582	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Motupe	Lambayeque	Peru
LA1583	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tierra de la Vieja	Lambayeque	Peru
LA1584	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Jayanca to La Vina	Lambayeque	Peru
LA1585	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cuculi	Lambayeque	Peru
LA1586	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Zana,  San Nicolas	La Libertad	Peru
LA1587	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	San Pedro de Lloc	La Libertad	Peru
LA1588	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Laredo to  Barraza	La Libertad	Peru
LA1589	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Viru - Galunga	La Libertad	Peru
LA1590	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Viru to Tomaval	La Libertad	Peru
LA1591	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Ascope	La Libertad	Peru
LA1592	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Moche	La Libertad	Peru
LA1593	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Puente de Chao	La Libertad	Peru
LA1594	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cerro Sechin	Ancash	Peru
LA1595	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Nepena to Samanco	Ancash	Peru
LA1596	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Santa to La Rinconada	Ancash	Peru
LA1597	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Rio Casma	Ancash	Peru
LA1598	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Culebras to La Victoria	Ancash	Peru
LA1599	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Huarmey	Ancash	Peru
LA1600	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Las Zorras, Huarmey	Ancash	Peru
LA1601	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Providencia	Lima	Peru
LA1602	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Punchauca	Lima	Peru
LA1603	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Quilca	Lima	Peru
LA1604	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Horcon	Lima	Peru
LA1605	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Canete -  San Antonio	Lima	Peru
LA1606	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tambo de Mora	Ica	Peru
LA1607	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Canete -  La Victoria	Lima	Peru
LA1608	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Canete - San Luis	Lima	Peru
LA1610	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Asia - El Pinon	Lima	Peru
LA1611	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Rio Mala	Lima	Peru
LA1612	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Rio Chilca	Lima	Peru
LA1613	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Hacienda Santa Eusebia	Lima	Peru
LA1614	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Huaura -- Pampa Chumbes	Lima	Peru
LA1615	Unavailable	Wild species	L. pimpinellifolium	S. pimpinellifolium	Piura to Simbala	Piura	Peru
LA1617	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tumbes South	Tumbes	Peru
LA1618	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Tumbes North	Tumbes	Peru
LA1628	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Huanchaco	La Libertad	Peru
LA1629	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Barrancos de Miraflores	Lima	Peru
LA1630	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Fundo La Palma	Ica	Peru
LA1631	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Planta Envasadora San Fernando (Moche)	La Libertad	Peru
LA1633	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Coop. Huayna Capac	Ica	Peru
LA1634	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Fundo Bogotalla #1	Ica	Peru
LA1635	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Fundo Bogotalla #2	Ica	Peru
LA1636	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Laran	Ica	Peru
LA1637	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	La Calera	Ica	Peru
LA1638	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Fundo El Portillo	Lima	Peru
LA1645	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Banos de Miraflores	Lima	Peru
LA1651	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Vivero, La Molina	Lima	Peru
LA1652	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Cieneguilla	Lima	Peru
LA1659	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Pariacoto	Ancash	Peru
LA1660	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Yautan to Pariacoto	Ancash	Peru
LA1661	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Esquina de Asia	Lima	Peru
LA1670	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Rio Sama	Tacna	Peru
LA1676	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	Fundo Huadquina, Topara	Ica	Peru
LA1678	Active	Wild species	L. pimpinellifolium	S. pimpinellifolium	San Juan Lucumo de Topara	Ica	Peru
