AccessionNum	Gene	Allele	ImageNum	Hyperlink
LA0052	wt	--	812	http://tgrc.ucdavis.edu/images/br,j,wt-LA0052-seedling.jpg
LA0053	Wo	--	1040	http://tgrc.ucdavis.edu/images/Wo-LA0053-leaves.jpg
LA0053	Wo	--	1041	http://tgrc.ucdavis.edu/images/Wo-LA0053-seedling.jpg
LA0059	bl	--	358	http://tgrc.ucdavis.edu/images/bl-LA0059-flower.jpg
LA0059	bl	--	359	http://tgrc.ucdavis.edu/images/bl-LA0059-flwr-comp.jpg
LA0059	bl	--	360	http://tgrc.ucdavis.edu/images/bl-LA0059.jpg
LA0059	sp	--	358	http://tgrc.ucdavis.edu/images/bl-LA0059-flower.jpg
LA0059	sp	--	359	http://tgrc.ucdavis.edu/images/bl-LA0059-flwr-comp.jpg
LA0059	sp	--	360	http://tgrc.ucdavis.edu/images/bl-LA0059.jpg
LA0063	ps	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif
LA0085	d	--	1042	http://tgrc.ucdavis.edu/images/Wo,d,h-LA0085-seedling.jpg
LA0085	d	--	1043	http://tgrc.ucdavis.edu/images/Wo,h-LA0085-seedling.jpg
LA0085	d	--	1044	http://tgrc.ucdavis.edu/images/Wo,h,d-LA0085-seedling.jpg
LA0085	d	--	1051	http://tgrc.ucdavis.edu/images/Wo^m,Wo,Ln,d,h-LA0285,LA1663,LA0085-seedling.jpg
LA0085	h	--	1042	http://tgrc.ucdavis.edu/images/Wo,d,h-LA0085-seedling.jpg
LA0085	h	--	1043	http://tgrc.ucdavis.edu/images/Wo,h-LA0085-seedling.jpg
LA0085	h	--	1044	http://tgrc.ucdavis.edu/images/Wo,h,d-LA0085-seedling.jpg
LA0085	h	--	1051	http://tgrc.ucdavis.edu/images/Wo^m,Wo,Ln,d,h-LA0285,LA1663,LA0085-seedling.jpg
LA0085	Wo	--	1042	http://tgrc.ucdavis.edu/images/Wo,d,h-LA0085-seedling.jpg
LA0085	Wo	--	1043	http://tgrc.ucdavis.edu/images/Wo,h-LA0085-seedling.jpg
LA0085	Wo	--	1044	http://tgrc.ucdavis.edu/images/Wo,h,d-LA0085-seedling.jpg
LA0085	Wo	--	1051	http://tgrc.ucdavis.edu/images/Wo^m,Wo,Ln,d,h-LA0285,LA1663,LA0085-seedling.jpg
LA0137	dl	--	893	http://tgrc.ucdavis.edu/images/dl,gq,wd-LA0137-seedling.jpg
LA0137	dl	--	896	http://tgrc.ucdavis.edu/images/dl,wd,gq-LA0137-seedling-comp.jpg
LA0137	gq	--	893	http://tgrc.ucdavis.edu/images/dl,gq,wd-LA0137-seedling.jpg
LA0137	gq	--	896	http://tgrc.ucdavis.edu/images/dl,wd,gq-LA0137-seedling-comp.jpg
LA0137	wd	--	893	http://tgrc.ucdavis.edu/images/dl,gq,wd-LA0137-seedling.jpg
LA0137	wd	--	896	http://tgrc.ucdavis.edu/images/dl,wd,gq-LA0137-seedling-comp.jpg
LA0154	d	--	861	http://tgrc.ucdavis.edu/images/d,h,sp,u-LA0154-seedling.jpg
LA0154	h	--	861	http://tgrc.ucdavis.edu/images/d,h,sp,u-LA0154-seedling.jpg
LA0154	sp	--	861	http://tgrc.ucdavis.edu/images/d,h,sp,u-LA0154-seedling.jpg
LA0154	u	--	861	http://tgrc.ucdavis.edu/images/d,h,sp,u-LA0154-seedling.jpg
LA0160	d	x	865	http://tgrc.ucdavis.edu/images/d^x-LA0160-whole-plant.jpg
LA0160	d	x	866	http://tgrc.ucdavis.edu/images/d^x-LA0160-flowers.jpg
LA0160	d	x	867	http://tgrc.ucdavis.edu/images/d^x-LA0160-seedling.jpg
LA0160	d	x	868	http://tgrc.ucdavis.edu/images/d^x-LA0160-seedling-comp.jpg
LA0162	Nr	--	29	http://tgrc.ucdavis.edu/images/fruit.ripening.gif
LA0258	Wo	m	132	http://tgrc.ucdavis.edu/images/hair.mutants.gif
LA0258	Wo	m	1045	http://tgrc.ucdavis.edu/images/Wo^m-LA0258-leaves2.jpg
LA0258	Wo	m	1046	http://tgrc.ucdavis.edu/images/Wo^m-LA0258-whole-plant.jpg
LA0258	Wo	m	1047	http://tgrc.ucdavis.edu/images/Wo^m-LA0258-leaves.jpg
LA0258	Wo	m	1048	http://tgrc.ucdavis.edu/images/Wo^m-LA0258-flowers.jpg
LA0258	Wo	m	1049	http://tgrc.ucdavis.edu/images/Wo^m-LA0258-stem.jpg
LA0258	Wo	m	1050	http://tgrc.ucdavis.edu/images/Wo^m-LA0258-seedling.jpg
LA0260	ah	--	342	http://tgrc.ucdavis.edu/images/ah-LA0260.jpg
LA0260	ah	--	600	http://tgrc.ucdavis.edu/images/ah-la0260-hypocotyl.jpg
LA0272	cm	--	836	http://tgrc.ucdavis.edu/images/cm-LA0272-seedling.jpg
LA0272	cm	--	837	http://tgrc.ucdavis.edu/images/cm-LA0272-leaves.jpg
LA0272	cm	--	838	http://tgrc.ucdavis.edu/images/cm-LA0272-fruit.jpg
LA0272	cm	--	839	http://tgrc.ucdavis.edu/images/cm-LA0272-whole-plant.jpg
LA0285	al	--	1051	http://tgrc.ucdavis.edu/images/Wo^m,Wo,Ln,d,h-LA0285,LA1663,LA0085-seedling.jpg
LA0285	H	--	1051	http://tgrc.ucdavis.edu/images/Wo^m,Wo,Ln,d,h-LA0285,LA1663,LA0085-seedling.jpg
LA0285	rv	--	1051	http://tgrc.ucdavis.edu/images/Wo^m,Wo,Ln,d,h-LA0285,LA1663,LA0085-seedling.jpg
LA0285	wt	--	1051	http://tgrc.ucdavis.edu/images/Wo^m,Wo,Ln,d,h-LA0285,LA1663,LA0085-seedling.jpg
LA0291	a	--	746	http://tgrc.ucdavis.edu/images/a,hl,ms-02-LA0291-stem.jpg
LA0291	a	--	1486	http://tgrc.ucdavis.edu/images/LA0291-reddish leaves.jpg
LA0291	hl	--	746	http://tgrc.ucdavis.edu/images/a,hl,ms-02-LA0291-stem.jpg
LA0291	hl	--	1486	http://tgrc.ucdavis.edu/images/LA0291-reddish leaves.jpg
LA0291	ms-02	--	746	http://tgrc.ucdavis.edu/images/a,hl,ms-02-LA0291-stem.jpg
LA0291	ms-02	--	1486	http://tgrc.ucdavis.edu/images/LA0291-reddish leaves.jpg
LA0295	gh	--	18	http://tgrc.ucdavis.edu/images/gh.flowers.gif
LA0295	gh	--	19	http://tgrc.ucdavis.edu/images/gh.fruit.gif
LA0295	gh	--	20	http://tgrc.ucdavis.edu/images/gh.mature.plant.gif
LA0295	gh	--	21	http://tgrc.ucdavis.edu/images/gh.plant.gif
LA0295	gh	--	120	http://tgrc.ucdavis.edu/images/gh.seedling.gif
LA0295	gh	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif
LA0295	gh	--	317	http://tgrc.ucdavis.edu/images/gh.shoots.gif
LA0295	gh	--	412	http://tgrc.ucdavis.edu/images/ghost-mutants-gh-LA0295,-gh.jpg
LA0299	ag	--	765	http://tgrc.ucdavis.edu/images/ag,rv-LA0299-seedling.jpg
LA0299	rv	--	765	http://tgrc.ucdavis.edu/images/ag,rv-LA0299-seedling.jpg
LA0299	wf	--	765	http://tgrc.ucdavis.edu/images/ag,rv-LA0299-seedling.jpg
LA0300	ag	--	23	http://tgrc.ucdavis.edu/images/fruit.color2.gif
LA0300	dv	--	23	http://tgrc.ucdavis.edu/images/fruit.color2.gif
LA0300	u	--	23	http://tgrc.ucdavis.edu/images/fruit.color2.gif
LA0313	d	--	34	http://tgrc.ucdavis.edu/images/dwarfs.gif
LA0313	d	--	117	http://tgrc.ucdavis.edu/images/rob^imm.GIF
LA0313	d	--	385	http://tgrc.ucdavis.edu/images/d-LA0313-stg2.jpg
LA0313	d	--	387	http://tgrc.ucdavis.edu/images/d-LA313.jpg
LA0313	d	--	672	http://tgrc.ucdavis.edu/images/d-LA0313-comp.jpg
LA0313	d	--	675	http://tgrc.ucdavis.edu/images/dpy,Cu,d^x,d,bu-LA3171,LA3740,LA3615,LA0313,LA2918-dwarf comparisons.jpg
LA0315	j-2	--	416	http://tgrc.ucdavis.edu/images/j-2-LA0315,-j-LA3033-infl-c.jpg
LA0315	j-2	--	417	http://tgrc.ucdavis.edu/images/j-2-LA0315-.jpg
LA0315	j-2	--	418	http://tgrc.ucdavis.edu/images/j-2-LA0315-infl.jpg
LA0316	B	--	1496	http://tgrc.ucdavis.edu/images/B,B^og-LA0316,LA0348-fruit
LA0316	B	--	1497	http://tgrc.ucdavis.edu/images/B,Del-LA0316,LA2996A-fruit-.jpg
LA0316	B	--	1499	http://tgrc.ucdavis.edu/images/B,t^v,t,u-LA0316,LA0351,LA3250-fruit
LA0316	B	--	1500	http://tgrc.ucdavis.edu/images/B-LA0316-fruit.jpg
LA0316	B	--	1504	http://tgrc.ucdavis.edu/images/B^og,hp-1,sp,Del,B,t^v,t,u-LA3771,LA3802,LA2996A,LA0316,LA0351,LA3250-fruit-comp.jpg
LA0316	B	--	1510	http://tgrc.ucdavis.edu/images/gf,r,y,at,u,Del,B,t^v,t-LA3811,LA3381,LA3373,LA2996A,LA0316,LA0351,LA3250-fruit comp.jpg
LA0324	Me	--	113	http://tgrc.ucdavis.edu/images/La.Cu.Me.gif
LA0324	Me	--	952	http://tgrc.ucdavis.edu/images/Me-LA0324-whole-plant.jpg
LA0324	Me	--	953	http://tgrc.ucdavis.edu/images/Me-LA0324-flowers.jpg
LA0324	Me	--	954	http://tgrc.ucdavis.edu/images/Me-LA0324-fruit.jpg
LA0324	Me	--	955	http://tgrc.ucdavis.edu/images/Me-LA0324-seedling.jpg
LA0325	Cu	--	113	http://tgrc.ucdavis.edu/images/La.Cu.Me.gif
LA0325	Cu	--	855	http://tgrc.ucdavis.edu/images/Cu-LA0325-whole-plant.jpg
LA0325	Cu	--	856	http://tgrc.ucdavis.edu/images/Cu-LA0325-seedling.jpg
LA0325	Cu	--	857	http://tgrc.ucdavis.edu/images/Cu-LA0325-fruit.jpg
LA0326	pr	--	979	http://tgrc.ucdavis.edu/images/pr-LA0326-fruit.jpg
LA0326	pr	--	980	http://tgrc.ucdavis.edu/images/pr-LA0326-leaf.jpg
LA0326	pr	--	981	http://tgrc.ucdavis.edu/images/pr-LA0326-seedling-2.jpg
LA0326	pr	--	982	http://tgrc.ucdavis.edu/images/pr-LA0326-seedling.jpg
LA0326	pr	--	983	http://tgrc.ucdavis.edu/images/pr-LA0326-whole-plant.jpg
LA0329	ls	--	161	http://tgrc.ucdavis.edu/images/ls.gif
LA0329	ls	--	322	http://tgrc.ucdavis.edu/images/ls_a.gif
LA0330	bk	--	52	http://tgrc.ucdavis.edu/images/bk-d-p-o-s.gif
LA0330	d	--	52	http://tgrc.ucdavis.edu/images/bk-d-p-o-s.gif
LA0330	o	--	52	http://tgrc.ucdavis.edu/images/bk-d-p-o-s.gif
LA0330	p	--	52	http://tgrc.ucdavis.edu/images/bk-d-p-o-s.gif
LA0330	r	--	52	http://tgrc.ucdavis.edu/images/bk-d-p-o-s.gif
LA0330	s	--	52	http://tgrc.ucdavis.edu/images/bk-d-p-o-s.gif
LA0330	y	--	52	http://tgrc.ucdavis.edu/images/bk-d-p-o-s.gif
LA0335	La	--	113	http://tgrc.ucdavis.edu/images/La.Cu.Me.gif
LA0335	La	--	157	http://tgrc.ucdavis.edu/images/la_a.GIF
LA0335	La	--	160	http://tgrc.ucdavis.edu/images/lap.GIF
LA0335	La	--	428	http://tgrc.ucdavis.edu/images/La-LA335-branch.jpg
LA0335	La	--	429	http://tgrc.ucdavis.edu/images/La-LA335-leaf.jpg
LA0335	La	--	640	http://tgrc.ucdavis.edu/images/la-la0335-.jpg
LA0335	La	--	641	http://tgrc.ucdavis.edu/images/la-la335,-la2838a.jpg
LA0335	La	--	642	http://tgrc.ucdavis.edu/images/la-la335.jpg
LA0348	B	og	181	http://tgrc.ucdavis.edu/images/og.gif
LA0348	B	og	1496	http://tgrc.ucdavis.edu/images/B,B^og-LA0316,LA0348-fruit
LA0348	B	og	1508	http://tgrc.ucdavis.edu/images/B^og-LA0348-fruit.jpg
LA0351	t	v	1015	http://tgrc.ucdavis.edu/images/t,t^v-LA0351,LA3533-leaves.jpg
LA0351	t	v	1016	http://tgrc.ucdavis.edu/images/t^v-LA0351-seedling-comp.jpg
LA0351	t	v	1017	http://tgrc.ucdavis.edu/images/t^v-LA0351-leaves.jpg
LA0351	t	v	1499	http://tgrc.ucdavis.edu/images/B,t^v,t,u-LA0316,LA0351,LA3250-fruit
LA0351	t	v	1504	http://tgrc.ucdavis.edu/images/B^og,hp-1,sp,Del,B,t^v,t,u-LA3771,LA3802,LA2996A,LA0316,LA0351,LA3250-fruit-comp.jpg
LA0351	t	v	1510	http://tgrc.ucdavis.edu/images/gf,r,y,at,u,Del,B,t^v,t-LA3811,LA3381,LA3373,LA2996A,LA0316,LA0351,LA3250-fruit comp.jpg
LA0351	t	v	1534	http://tgrc.ucdavis.edu/images/t^v-LA0351-fruit.jpg
LA0352	ah	prov6	775	http://tgrc.ucdavis.edu/images/ah^prov6-LA0352-seedling-comp.jpg
LA0352	ah	prov6	776	http://tgrc.ucdavis.edu/images/ah^prov6-LA0352-stem.jpg
