AccessionNum	Gene	Allele	ImageNum	Hyperlink	Caption	Taxon	PhenotypicCategory	AbbrevForSolgenes	Description
LA0579	tf	2	949	http://tgrc.ucdavis.edu/images/mc,obv,tf,wt,tf^2-LA0512,LA0579,LA0353-leaves.jpg	Leaves of LA0512 mc,obv,tf,wt, LA0579 tf^2, and LA0353 control [photo: Carl M. Jones].	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
LA0579	tf	2	1020	http://tgrc.ucdavis.edu/images/tf^2-LA0579-leaves.jpg	Leaves of LA0579 tf^2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0579	tf	2	1020	http://tgrc.ucdavis.edu/images/tf^2-LA0579-leaves.jpg	Leaves of LA0579 tf^2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0579	tf	2	1020	http://tgrc.ucdavis.edu/images/tf^2-LA0579-leaves.jpg	Leaves of LA0579 tf^2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
LA0580	uni	--	1025	http://tgrc.ucdavis.edu/images/uni-LA0580-flowers.jpg	Flowers of LA0580 uni [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0580	uni	--	1026	http://tgrc.ucdavis.edu/images/uni-LA0580-whole-plant.jpg	Whole plant of LA0580 [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0580	uni	--	1027	http://tgrc.ucdavis.edu/images/uni-LA0580-seedling-comp.jpg	Seedling of LA0580 uni comapred to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0580	uni	--	1028	http://tgrc.ucdavis.edu/images/uni-LA0580-seedling.jpg	Seedling of LA0580 uni [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0580	uni	--	1029	http://tgrc.ucdavis.edu/images/uni-LA0580-fruit.jpg	Fruit of LA0580 uni [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0581	va	dec	1030	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA0582-seedling.jpg	Seedling of LA0581 va^dec, LA0582 va^virg [photo: Carl M. Jones].	L. esculentum	E	Chl deficient yel-grn	Chlorophyll deficiency: yellow-green
LA0581	va	dec	1030	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA0582-seedling.jpg	Seedling of LA0581 va^dec, LA0582 va^virg [photo: Carl M. Jones].	L. esculentum	F	Virescent	Virescent: chlorophyll deficiency localized at growing point
LA0581	va	dec	1031	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA058-seedling comp.jpg	Seedling of LA0581 va^dec, LA0582 va^virg compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	E	Chl deficient yel-grn	Chlorophyll deficiency: yellow-green
LA0581	va	dec	1031	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA058-seedling comp.jpg	Seedling of LA0581 va^dec, LA0582 va^virg compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	F	Virescent	Virescent: chlorophyll deficiency localized at growing point
LA0582	va	virg	1030	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA0582-seedling.jpg	Seedling of LA0581 va^dec, LA0582 va^virg [photo: Carl M. Jones].	L. esculentum	E	Chl deficient yel-grn	Chlorophyll deficiency: yellow-green
LA0582	va	virg	1030	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA0582-seedling.jpg	Seedling of LA0581 va^dec, LA0582 va^virg [photo: Carl M. Jones].	L. esculentum	F	Virescent	Virescent: chlorophyll deficiency localized at growing point
LA0582	va	virg	1031	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA058-seedling comp.jpg	Seedling of LA0581 va^dec, LA0582 va^virg compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	E	Chl deficient yel-grn	Chlorophyll deficiency: yellow-green
LA0582	va	virg	1031	http://tgrc.ucdavis.edu/images/va^dec,va^virg-LA0581,LA058-seedling comp.jpg	Seedling of LA0581 va^dec, LA0582 va^virg compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	F	Virescent	Virescent: chlorophyll deficiency localized at growing point
LA0585	vir	--	259	http://tgrc.ucdavis.edu/images/vir.GIF	Whole plant of vir (viridis; LA0585). [photo C.M. Rick]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0585	vir	--	259	http://tgrc.ucdavis.edu/images/vir.GIF	Whole plant of vir (viridis; LA0585). [photo C.M. Rick]	L. esculentum	T	Foliage dark	Foliage color: dark
LA0585	vir	--	1033	http://tgrc.ucdavis.edu/images/vir-LA0585-leaves.jpg	Leaf of LA0585 vir compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0585	vir	--	1033	http://tgrc.ucdavis.edu/images/vir-LA0585-leaves.jpg	Leaf of LA0585 vir compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	T	Foliage dark	Foliage color: dark
LA0585	vir	--	1034	http://tgrc.ucdavis.edu/images/vir-LA0585-seedling-comp.jpg	Seedling of LA0585 vir compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0585	vir	--	1034	http://tgrc.ucdavis.edu/images/vir-LA0585-seedling-comp.jpg	Seedling of LA0585 vir compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	T	Foliage dark	Foliage color: dark
LA0586	ele	2	307	http://tgrc.ucdavis.edu/images/ele^2.GIF	Mature plants of normal (+) and elegans (ele^2; LA0586).  [photo H. Stubbe, 1958, Kulturpflanze 6: 89]	L. esculentum	E	Chl deficient yel-grn	Chlorophyll deficiency: yellow-green
LA0586	ele	2	307	http://tgrc.ucdavis.edu/images/ele^2.GIF	Mature plants of normal (+) and elegans (ele^2; LA0586).  [photo H. Stubbe, 1958, Kulturpflanze 6: 89]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0586	ele	2	307	http://tgrc.ucdavis.edu/images/ele^2.GIF	Mature plants of normal (+) and elegans (ele^2; LA0586).  [photo H. Stubbe, 1958, Kulturpflanze 6: 89]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0587	atn	--	89	http://tgrc.ucdavis.edu/images/atn.gif	Stages of maturing leaves of atn (attenuata; LA587) [photo Stubbe, Kulturpflanze 6: 91]	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
LA0587	atn	--	89	http://tgrc.ucdavis.edu/images/atn.gif	Stages of maturing leaves of atn (attenuata; LA587) [photo Stubbe, Kulturpflanze 6: 91]	L. esculentum	E	Chl deficient yel-grn	Chlorophyll deficiency: yellow-green
LA0587	atn	--	89	http://tgrc.ucdavis.edu/images/atn.gif	Stages of maturing leaves of atn (attenuata; LA587) [photo Stubbe, Kulturpflanze 6: 91]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0587	atn	--	89	http://tgrc.ucdavis.edu/images/atn.gif	Stages of maturing leaves of atn (attenuata; LA587) [photo Stubbe, Kulturpflanze 6: 91]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0588	bc	--	805	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling-comp.jpg	Seedling of LA0588 bc compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0588	bc	--	805	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling-comp.jpg	Seedling of LA0588 bc compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0588	bc	--	805	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling-comp.jpg	Seedling of LA0588 bc compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	T	Foliage dark	Foliage color: dark
LA0588	bc	--	805	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling-comp.jpg	Seedling of LA0588 bc compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	U	Foliage color	Foliage color, miscellaneous: olive, brown, blue-green
LA0588	bc	--	806	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling.jpg	Seedling of LA0588 bc [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0588	bc	--	806	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling.jpg	Seedling of LA0588 bc [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0588	bc	--	806	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling.jpg	Seedling of LA0588 bc [photo: Carl M. Jones].	L. esculentum	T	Foliage dark	Foliage color: dark
LA0588	bc	--	806	http://tgrc.ucdavis.edu/images/bc-LA0588-seedling.jpg	Seedling of LA0588 bc [photo: Carl M. Jones].	L. esculentum	U	Foliage color	Foliage color, miscellaneous: olive, brown, blue-green
LA0593	cv	--	114	http://tgrc.ucdavis.edu/images/cv.gif	Whole plant of cv (curvata; LA593) [photo H. Stubbe, Kulturpflanze 6: 94]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0593	cv	--	114	http://tgrc.ucdavis.edu/images/cv.gif	Whole plant of cv (curvata; LA593) [photo H. Stubbe, Kulturpflanze 6: 94]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0593	cv	--	114	http://tgrc.ucdavis.edu/images/cv.gif	Whole plant of cv (curvata; LA593) [photo H. Stubbe, Kulturpflanze 6: 94]	L. esculentum	T	Foliage dark	Foliage color: dark
LA0596	depa	--	883	http://tgrc.ucdavis.edu/images/depa-LA0596-seedling-comp.jpg	Seedling of LA0596 depa compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
LA0596	depa	--	883	http://tgrc.ucdavis.edu/images/depa-LA0596-seedling-comp.jpg	Seedling of LA0596 depa compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0596	depa	--	883	http://tgrc.ucdavis.edu/images/depa-LA0596-seedling-comp.jpg	Seedling of LA0596 depa compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0597	dim	--	390	http://tgrc.ucdavis.edu/images/dim-LA0597-i-.jpg	Whole plant of diminuta (dim); Accession(s): LA0597; [photo C.M. Jones]	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
LA0597	dim	--	390	http://tgrc.ucdavis.edu/images/dim-LA0597-i-.jpg	Whole plant of diminuta (dim); Accession(s): LA0597; [photo C.M. Jones]	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0597	dim	--	390	http://tgrc.ucdavis.edu/images/dim-LA0597-i-.jpg	Whole plant of diminuta (dim); Accession(s): LA0597; [photo C.M. Jones]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0597	dim	--	391	http://tgrc.ucdavis.edu/images/dim-LA0597-ii.jpg	Whole plant of diminuta (dim); Accession(s): LA0597; [photo C.M. Jones]	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
LA0597	dim	--	391	http://tgrc.ucdavis.edu/images/dim-LA0597-ii.jpg	Whole plant of diminuta (dim); Accession(s): LA0597; [photo C.M. Jones]	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0597	dim	--	391	http://tgrc.ucdavis.edu/images/dim-LA0597-ii.jpg	Whole plant of diminuta (dim); Accession(s): LA0597; [photo C.M. Jones]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0598	dis	--	887	http://tgrc.ucdavis.edu/images/dis-LA0598-seedling-comp.jpg	Seedling of LA0598 dis compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0598	dis	--	887	http://tgrc.ucdavis.edu/images/dis-LA0598-seedling-comp.jpg	Seedling of LA0598 dis compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	F	Virescent	Virescent: chlorophyll deficiency localized at growing point
LA0599	su	3	5	http://tgrc.ucdavis.edu/images/exa.GIF	Whole plant of expassa (exa; LA0599) [photo H. Stubbe, Kulturpflanze 11: 612]	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
LA0599	su	3	5	http://tgrc.ucdavis.edu/images/exa.GIF	Whole plant of expassa (exa; LA0599) [photo H. Stubbe, Kulturpflanze 11: 612]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0600	er	--	907	http://tgrc.ucdavis.edu/images/er-LA0600-seedling-comp.jpg	Seedling of LA0600 er compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0600	er	--	907	http://tgrc.ucdavis.edu/images/er-LA0600-seedling-comp.jpg	Seedling of LA0600 er compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0600	er	--	907	http://tgrc.ucdavis.edu/images/er-LA0600-seedling-comp.jpg	Seedling of LA0600 er compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	T	Foliage dark	Foliage color: dark
LA0601	exl	--	308	http://tgrc.ucdavis.edu/images/exl.gif	Plants of normal (+) versus exilis (exl; LA0601).  [photo H. Stubbe, 1958, Kulturpflanze 6: 96]	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0601	exl	--	308	http://tgrc.ucdavis.edu/images/exl.gif	Plants of normal (+) versus exilis (exl; LA0601).  [photo H. Stubbe, 1958, Kulturpflanze 6: 96]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0601	exl	--	308	http://tgrc.ucdavis.edu/images/exl.gif	Plants of normal (+) versus exilis (exl; LA0601).  [photo H. Stubbe, 1958, Kulturpflanze 6: 96]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0602	fir	--	12	http://tgrc.ucdavis.edu/images/fir.gif	Whole plant of firma (fir). [photo H. Stubbe, Kulturpflanze 6: 97]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0602	fir	--	12	http://tgrc.ucdavis.edu/images/fir.gif	Whole plant of firma (fir). [photo H. Stubbe, Kulturpflanze 6: 97]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0602	fir	--	12	http://tgrc.ucdavis.edu/images/fir.gif	Whole plant of firma (fir). [photo H. Stubbe, Kulturpflanze 6: 97]	L. esculentum	M	Inflorescence	Inflorescence (exclusive of L)
LA0602	fir	--	915	http://tgrc.ucdavis.edu/images/fir-LA0602-seedling-comp.jpg	Seedling of LA0602 fir compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0602	fir	--	915	http://tgrc.ucdavis.edu/images/fir-LA0602-seedling-comp.jpg	Seedling of LA0602 fir compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0602	fir	--	915	http://tgrc.ucdavis.edu/images/fir-LA0602-seedling-comp.jpg	Seedling of LA0602 fir compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	M	Inflorescence	Inflorescence (exclusive of L)
LA0603	flav	--	313	http://tgrc.ucdavis.edu/images/flav.gif	Mature plants of normal (+)  and flavida (flav; LA0603). [photo H. Stubbe, 1958, Kulturpflanze 6: 98]	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
LA0604	bu	hem	55	http://tgrc.ucdavis.edu/images/bu^hem.gif	Whole plant of bu^hem (fruiticosa hemiglobosa; LA604). [photo H. Stubbe, Kulturpflanze 6: 98]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0604	bu	hem	55	http://tgrc.ucdavis.edu/images/bu^hem.gif	Whole plant of bu^hem (fruiticosa hemiglobosa; LA604). [photo H. Stubbe, Kulturpflanze 6: 98]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0604	bu	hem	55	http://tgrc.ucdavis.edu/images/bu^hem.gif	Whole plant of bu^hem (fruiticosa hemiglobosa; LA604). [photo H. Stubbe, Kulturpflanze 6: 98]	L. esculentum	M	Inflorescence	Inflorescence (exclusive of L)
LA0604	bu	hem	817	http://tgrc.ucdavis.edu/images/bu^hem-LA0604-seedling.jpg	Seedling of LA0604 bu^hem [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0604	bu	hem	817	http://tgrc.ucdavis.edu/images/bu^hem-LA0604-seedling.jpg	Seedling of LA0604 bu^hem [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0604	bu	hem	817	http://tgrc.ucdavis.edu/images/bu^hem-LA0604-seedling.jpg	Seedling of LA0604 bu^hem [photo: Carl M. Jones].	L. esculentum	M	Inflorescence	Inflorescence (exclusive of L)
LA0604	bu	hem	818	http://tgrc.ucdavis.edu/images/bu^hem-LA0604-seedling-comp.jpg	Seedling of LA0604 bu^hem compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0604	bu	hem	818	http://tgrc.ucdavis.edu/images/bu^hem-LA0604-seedling-comp.jpg	Seedling of LA0604 bu^hem compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0604	bu	hem	818	http://tgrc.ucdavis.edu/images/bu^hem-LA0604-seedling-comp.jpg	Seedling of LA0604 bu^hem compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	M	Inflorescence	Inflorescence (exclusive of L)
LA0606	glau	--	919	http://tgrc.ucdavis.edu/images/glau-LA0606-seedling-comp.jpg	Seedling of LA0606 glau compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	E	Chl deficient yel-grn	Chlorophyll deficiency: yellow-green
LA0606	glau	--	919	http://tgrc.ucdavis.edu/images/glau-LA0606-seedling-comp.jpg	Seedling of LA0606 glau compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0606	glau	--	919	http://tgrc.ucdavis.edu/images/glau-LA0606-seedling-comp.jpg	Seedling of LA0606 glau compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0607	gra	--	126	http://tgrc.ucdavis.edu/images/gra.gif	Whole plant of gra (gracilis; LA0607). [photo H. Stubbe, Kulturpflanze 6: 100]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0607	gra	--	126	http://tgrc.ucdavis.edu/images/gra.gif	Whole plant of gra (gracilis; LA0607). [photo H. Stubbe, Kulturpflanze 6: 100]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0611	c	int	58	http://tgrc.ucdavis.edu/images/c^int.gif	Leaf of normal (+) versus c^int (potato leaf; LA0611). [photo H. Stubbe, Kulturpflanze 6: 102]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0612	glo	2	149	http://tgrc.ucdavis.edu/images/intro-leaves.GIF	Leaf of normal (+) versus leaves of globosa (glo, synonym intro). [photo H. Stubbe, Kulturpflanze 8: 126]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0612	glo	2	321	http://tgrc.ucdavis.edu/images/intro.gif	Mature plant of globosa (glo, synonym intro; LA0612). [photo H. Stubbe, 1958, Kulturpflanze 6: 102]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0614	mn	--	67	http://tgrc.ucdavis.edu/images/mn.gif	Whole plant of mn (minuta; LA614). [photoH. Stubbe, Kulturpflanze 6: 103]	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
LA0614	mn	--	67	http://tgrc.ucdavis.edu/images/mn.gif	Whole plant of mn (minuta; LA614). [photoH. Stubbe, Kulturpflanze 6: 103]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0614	mn	--	67	http://tgrc.ucdavis.edu/images/mn.gif	Whole plant of mn (minuta; LA614). [photoH. Stubbe, Kulturpflanze 6: 103]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0615	mon	--	51	http://tgrc.ucdavis.edu/images/mon.gif	Whole plant of normal (+) versus plant of mon (monstrosa; LA615). [photo H. Stubbe, Kulturpflanze 6: 104]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0615	mon	--	51	http://tgrc.ucdavis.edu/images/mon.gif	Whole plant of normal (+) versus plant of mon (monstrosa; LA615). [photo H. Stubbe, Kulturpflanze 6: 104]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0615	mon	--	958	http://tgrc.ucdavis.edu/images/mon-LA0615-seedling.jpg	Seedling of LA0615 mon [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0615	mon	--	958	http://tgrc.ucdavis.edu/images/mon-LA0615-seedling.jpg	Seedling of LA0615 mon [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0620	pic	--	192	http://tgrc.ucdavis.edu/images/pic.gif	Whole plant of pic (picta, LA620). [photoH. Stubbe, Kulturpflanze 6: 106]	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
LA0620	pic	--	192	http://tgrc.ucdavis.edu/images/pic.gif	Whole plant of pic (picta, LA620). [photoH. Stubbe, Kulturpflanze 6: 106]	L. esculentum	H	Leaf necrosis	Leaf necrosis
LA0621	pu	--	987	http://tgrc.ucdavis.edu/images/pu-LA0621-seedling.jpg	Seedling of LA0621 pu [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0621	pu	--	987	http://tgrc.ucdavis.edu/images/pu-LA0621-seedling.jpg	Seedling of LA0621 pu [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0621	pu	--	988	http://tgrc.ucdavis.edu/images/pu-LA0621-seedling-comp.jpg	Seedling of LA0621 pu compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0621	pu	--	988	http://tgrc.ucdavis.edu/images/pu-LA0621-seedling-comp.jpg	Seedling of LA0621 pu compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0621	pu	--	989	http://tgrc.ucdavis.edu/images/pu-LA0621-leaves.jpg	Leaves of LA0621 pu [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0621	pu	--	989	http://tgrc.ucdavis.edu/images/pu-LA0621-leaves.jpg	Leaves of LA0621 pu [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0625	d-2	--	35	http://tgrc.ucdavis.edu/images/d-2.gif	Whole plant of d-2 (dwarf-2; LA625). [photo H. Stubbe, Kulturpflanze 6: 107]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0625	d-2	--	35	http://tgrc.ucdavis.edu/images/d-2.gif	Whole plant of d-2 (dwarf-2; LA625). [photo H. Stubbe, Kulturpflanze 6: 107]	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
LA0626	ru	--	213	http://tgrc.ucdavis.edu/images/ru.gif	Whole plant of normal (+) versus ru (ruptilis; LA0626). [photo H. Stubbe, Kulturpflanze 6: 109]	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0626	ru	--	213	http://tgrc.ucdavis.edu/images/ru.gif	Whole plant of normal (+) versus ru (ruptilis; LA0626). [photo H. Stubbe, Kulturpflanze 6: 109]	L. esculentum	J	Leaf form and size	Leaf form and size
LA0626	ru	--	995	http://tgrc.ucdavis.edu/images/ru-LA0626-flowers.jpg	Flowers of LA0626 ru [photo: Carl M. Jones].	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0626	ru	--	995	http://tgrc.ucdavis.edu/images/ru-LA0626-flowers.jpg	Flowers of LA0626 ru [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0626	ru	--	996	http://tgrc.ucdavis.edu/images/ru-LA0626-whole-plant.jpg	Whole plant of LA0626 ru [photo: Carl M. Jones].	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0626	ru	--	996	http://tgrc.ucdavis.edu/images/ru-LA0626-whole-plant.jpg	Whole plant of LA0626 ru [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0626	ru	--	997	http://tgrc.ucdavis.edu/images/ru-LA0626-fruit.jpg	Fruit of LA0626 ru [photo: Carl M. Jones].	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0626	ru	--	997	http://tgrc.ucdavis.edu/images/ru-LA0626-fruit.jpg	Fruit of LA0626 ru [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0626	ru	--	998	http://tgrc.ucdavis.edu/images/ru-LA0626-seedling.jpg	Seedling of LA0626 ru [photo: Carl M. Jones].	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0626	ru	--	998	http://tgrc.ucdavis.edu/images/ru-LA0626-seedling.jpg	Seedling of LA0626 ru [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0627	squa	--	234	http://tgrc.ucdavis.edu/images/squa.gif	Whole plant of squa (squarrosa; LA627) [photo H. Stubbe, Kulturpflanze 6: 109]	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0627	squa	--	234	http://tgrc.ucdavis.edu/images/squa.gif	Whole plant of squa (squarrosa; LA627) [photo H. Stubbe, Kulturpflanze 6: 109]	L. esculentum	K	Plant habit and size	Plant habit and size
LA0627	squa	--	234	http://tgrc.ucdavis.edu/images/squa.gif	Whole plant of squa (squarrosa; LA627) [photo H. Stubbe, Kulturpflanze 6: 109]	L. esculentum	U	Foliage color	Foliage color, miscellaneous: olive, brown, blue-green
LA0627	squa	--	1008	http://tgrc.ucdavis.edu/images/squa-LA0627-seedling-comp.jpg	Seedling of LA0627 squa comared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0627	squa	--	1008	http://tgrc.ucdavis.edu/images/squa-LA0627-seedling-comp.jpg	Seedling of LA0627 squa comared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0627	squa	--	1008	http://tgrc.ucdavis.edu/images/squa-LA0627-seedling-comp.jpg	Seedling of LA0627 squa comared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	U	Foliage color	Foliage color, miscellaneous: olive, brown, blue-green
LA0627	squa	--	1009	http://tgrc.ucdavis.edu/images/squa-LA0627-leaf.jpg	Leaf of LA0627 squa compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	D	Chl deficient grey-grn	Chlorophyll deficiency: light, grey, or dull green
LA0627	squa	--	1009	http://tgrc.ucdavis.edu/images/squa-LA0627-leaf.jpg	Leaf of LA0627 squa compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
LA0627	squa	--	1009	http://tgrc.ucdavis.edu/images/squa-LA0627-leaf.jpg	Leaf of LA0627 squa compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	U	Foliage color	Foliage color, miscellaneous: olive, brown, blue-green
LA0628	su	--	239	http://tgrc.ucdavis.edu/images/su.gif	Fruit of su (suffulta; LA0628). [photo H. Stubbe, Kulturpflanze 6: 109]	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
