AccessionNum	Gene	Allele	ImageNum	Hyperlink	Caption	Taxon	PhenotypicCategory	AbbrevForSolgenes	Description
2-219	vms	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif	Flowers of ms-07 (male-sterile-07; 2-089), ms-10 (2-132), ms-31 (2-461), ms-15^47, pi-2 (pistillate-2; 3-802), ps (positional sterile; LA0063) and vms (variable male-sterile; 2-219) grown at low or high (inducing) temperatures are shown. [photo C.M. Rick]	L. esculentum	L	Flower form and color	Flower form and color
2-219	vms	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif	Flowers of ms-07 (male-sterile-07; 2-089), ms-10 (2-132), ms-31 (2-461), ms-15^47, pi-2 (pistillate-2; 3-802), ps (positional sterile; LA0063) and vms (variable male-sterile; 2-219) grown at low or high (inducing) temperatures are shown. [photo C.M. Rick]	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
2-219	vms	--	262	http://tgrc.ucdavis.edu/images/vms.gif	Expression of vms (variable male-sterile mutant; 2-219) following growth at 95 degrees Celsius for 96 hours [photo C.M. Rick]	L. esculentum	L	Flower form and color	Flower form and color
2-219	vms	--	262	http://tgrc.ucdavis.edu/images/vms.gif	Expression of vms (variable male-sterile mutant; 2-219) following growth at 95 degrees Celsius for 96 hours [photo C.M. Rick]	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
2-237	w-4	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif	Line drawings of leaf mutants represented on early TGC covers of gh (ghost; LA0295), bu (bushy; LA2918), tf (trifoliate; LA0512), w-4 (wiry-4; 2-237), e (entire; LA2922), Lpg (Lapageria; LA3739), sf (solanifolia; LA3674). [photo C.M. Rick]	L. esculentum	J	Leaf form and size	Leaf form and size
2-237	w-4	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif	Line drawings of leaf mutants represented on early TGC covers of gh (ghost; LA0295), bu (bushy; LA2918), tf (trifoliate; LA0512), w-4 (wiry-4; 2-237), e (entire; LA2922), Lpg (Lapageria; LA3739), sf (solanifolia; LA3674). [photo C.M. Rick]	L. esculentum	L	Flower form and color	Flower form and color
2-237	w-4	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif	Line drawings of leaf mutants represented on early TGC covers of gh (ghost; LA0295), bu (bushy; LA2918), tf (trifoliate; LA0512), w-4 (wiry-4; 2-237), e (entire; LA2922), Lpg (Lapageria; LA3739), sf (solanifolia; LA3674). [photo C.M. Rick]	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
2-295	ht	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg	Leaves of 3-602,LA3217,LA0512,3-035A,2-295,LA1795 [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
2-295	ht	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg	Leaves of 3-602,LA3217,LA0512,3-035A,2-295,LA1795 [photo: Carl M. Jones].	L. esculentum	L	Flower form and color	Flower form and color
2-295	ht	--	924	http://tgrc.ucdavis.edu/images/ht-2-295-seedling.jpg	Seedling of 2-295 ht compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
2-295	ht	--	924	http://tgrc.ucdavis.edu/images/ht-2-295-seedling.jpg	Seedling of 2-295 ht compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	L	Flower form and color	Flower form and color
2-295	ht	--	925	http://tgrc.ucdavis.edu/images/ht-2-295-leaves.jpg	Leaf of 2-295 ht compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
2-295	ht	--	925	http://tgrc.ucdavis.edu/images/ht-2-295-leaves.jpg	Leaf of 2-295 ht compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	L	Flower form and color	Flower form and color
2-455	ms-30	--	959	http://tgrc.ucdavis.edu/images/ms-30-2-455-flowers.jpg	Flowers of 2-455 ms-30 [photo: Carl M. Jones].	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
2-461	ms-31	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif	Flowers of ms-07 (male-sterile-07; 2-089), ms-10 (2-132), ms-31 (2-461), ms-15^47, pi-2 (pistillate-2; 3-802), ps (positional sterile; LA0063) and vms (variable male-sterile; 2-219) grown at low or high (inducing) temperatures are shown. [photo C.M. Rick]	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
2-505	clau	ff	99	http://tgrc.ucdavis.edu/images/TGC.covers2.gif	Line drawings of leaf mutants represented on early TGC covers of bip (bipinnata; LA3765), dpy (dumpy; LA3171), clau^ff (clausa^ff; 2-505), lyr (lyrate, LA2923), tp (tripinnate leaf, LA3184), ven (venosa; LA3564). [photo C.M. Rick]	L. esculentum	J	Leaf form and size	Leaf form and size
2-505	clau	ff	99	http://tgrc.ucdavis.edu/images/TGC.covers2.gif	Line drawings of leaf mutants represented on early TGC covers of bip (bipinnata; LA3765), dpy (dumpy; LA3171), clau^ff (clausa^ff; 2-505), lyr (lyrate, LA2923), tp (tripinnate leaf, LA3184), ven (venosa; LA3564). [photo C.M. Rick]	L. esculentum	L	Flower form and color	Flower form and color
2-505	clau	ff	99	http://tgrc.ucdavis.edu/images/TGC.covers2.gif	Line drawings of leaf mutants represented on early TGC covers of bip (bipinnata; LA3765), dpy (dumpy; LA3171), clau^ff (clausa^ff; 2-505), lyr (lyrate, LA2923), tp (tripinnate leaf, LA3184), ven (venosa; LA3564). [photo C.M. Rick]	L. esculentum	O	Fruit form and texture	Fruit form and surface texture
2-839	Ms-48	--	960	http://tgrc.ucdavis.edu/images/ms-48-2-839-flowers.jpg	Flowers of 2-839 ms-48 [photo: Carl M. Jones].	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
3-025	mgn	--	956	http://tgrc.ucdavis.edu/images/mgn,IL-inVF36-3-025-seedling.jpg	Seedling of 3-025 mgn compared to cv VF36 control [photo: Carl M. Jones].	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
3-025	mgn	--	956	http://tgrc.ucdavis.edu/images/mgn,IL-inVF36-3-025-seedling.jpg	Seedling of 3-025 mgn compared to cv VF36 control [photo: Carl M. Jones].	L. esculentum	H	Leaf necrosis	Leaf necrosis
3-025	mgn	--	957	http://tgrc.ucdavis.edu/images/mgn-3-025-whole-plant.jpg	Whole plant of 3-025 mgn [photo: Carl M. Jones].	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
3-025	mgn	--	957	http://tgrc.ucdavis.edu/images/mgn-3-025-whole-plant.jpg	Whole plant of 3-025 mgn [photo: Carl M. Jones].	L. esculentum	H	Leaf necrosis	Leaf necrosis
3-035A	ltf	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg	Leaves of 3-602,LA3217,LA0512,3-035A,2-295,LA1795 [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-035a	ltf	--	943	http://tgrc.ucdavis.edu/images/ltf-3-035A-leaves.jpg	Leaf of 3-035A ltf comapred to wild type (LA1795) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-035a	ltf	--	944	http://tgrc.ucdavis.edu/images/ltf-3-035A-seedling.jpg	Seedling of 3-035A ltf compared to wild type (LA1795) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-047	pdc	--	973	http://tgrc.ucdavis.edu/images/pdc-3-047-whole-plant.jpg	Whole plant of 3-047 pdc [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-047	pdc	--	973	http://tgrc.ucdavis.edu/images/pdc-3-047-whole-plant.jpg	Whole plant of 3-047 pdc [photo: Carl M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
3-047	pdc	--	973	http://tgrc.ucdavis.edu/images/pdc-3-047-whole-plant.jpg	Whole plant of 3-047 pdc [photo: Carl M. Jones].	L. esculentum	T	Foliage dark	Foliage color: dark
3-047	pdc	--	1527	http://tgrc.ucdavis.edu/images/pdc,IL-in-VF36-3-047-seedling.jpg	Fruit of pudica (pdc),  (3-047); [photo C.M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-047	pdc	--	1527	http://tgrc.ucdavis.edu/images/pdc,IL-in-VF36-3-047-seedling.jpg	Fruit of pudica (pdc),  (3-047); [photo C.M. Jones].	L. esculentum	K	Plant habit and size	Plant habit and size
3-047	pdc	--	1527	http://tgrc.ucdavis.edu/images/pdc,IL-in-VF36-3-047-seedling.jpg	Fruit of pudica (pdc),  (3-047); [photo C.M. Jones].	L. esculentum	T	Foliage dark	Foliage color: dark
3-057	trs	--	1022	http://tgrc.ucdavis.edu/images/trs-3-057-leaves,flowers,fruit.jpg	Leaves, flowers, fruit of 3-057 trs [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-057	trs	--	1023	http://tgrc.ucdavis.edu/images/trs-3-057-seedling.jpg	Seedling of 3-057 trs compared to cv San Marzano control [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-057	trs	--	1024	http://tgrc.ucdavis.edu/images/trs-3-057-whole-plant.jpg	Whole plant of 3-057 trs [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-071	Ln	--	132	http://tgrc.ucdavis.edu/images/hair.mutants.gif	Stems of assorted hair mutants, h (hairs absent; LA3172), hl (hairless; LA3556), neg (neglecta; LA0562), Ln (Lanata; 3-071), Wo m (Wooly; LA0258) and Wo; Ln (Lanata; LA0258; 3-071). [photo C.M. Rick]	L. esculentum	I	Hair modification	Hair modifications: augmentation, reduction, distortion, elimination
3-075	auv	--	93	http://tgrc.ucdavis.edu/images/auv_a.GIF	Whole plant of auv (aureate virescent; 3-075). [photo C.M. Rick]	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
3-075	auv	--	93	http://tgrc.ucdavis.edu/images/auv_a.GIF	Whole plant of auv (aureate virescent; 3-075). [photo C.M. Rick]	L. esculentum	F	Virescent	Virescent: chlorophyll deficiency localized at growing point
3-075	auv	--	94	http://tgrc.ucdavis.edu/images/auv_b.GIF	Stems and leaves of auv (aureate virescent; 3-075). [photo C.M. Rick]	L. esculentum	C	Chl deficient yellow	Chlorophyll deficiency: yellow or yellowish
3-075	auv	--	94	http://tgrc.ucdavis.edu/images/auv_b.GIF	Stems and leaves of auv (aureate virescent; 3-075). [photo C.M. Rick]	L. esculentum	F	Virescent	Virescent: chlorophyll deficiency localized at growing point
3-302	ah	prov2	774	http://tgrc.ucdavis.edu/images/ah^prov2-3-302-seedling-comp.jpg	Seedling of 3-302 ah^prov2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
3-302	ah	prov2	777	http://tgrc.ucdavis.edu/images/ah^prov2-3-302-seedling.jpg	Seedling of 3-302 ah^prov2 [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
3-343	ah	prov7	778	http://tgrc.ucdavis.edu/images/ah^prov7-3-343-seedling-comp.jpg	Seedling of 3-343 ah^prov7 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
3-345	c	prov2	824	http://tgrc.ucdavis.edu/images/c^prov2-3-345-seedling.jpg	Seedling of 3-345 c^prov2 [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-345	c	prov2	825	http://tgrc.ucdavis.edu/images/c^prov2-3-345-seedling-comp.jpg	Seedling of 3-345 c^prov2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
3-414	a	prov2	749	http://tgrc.ucdavis.edu/images/a^prov2-3-414-stem.jpg	Stem of 3-414 a^prov2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
3-414	a	prov2	750	http://tgrc.ucdavis.edu/images/a^prov2-3-414-seedling-comp.jpg	Seedling of 3-414 a^prov2 compared to wild type (LA0353) [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
