AccessionNum	Gene	Allele
LA1187	ra	--
LA1188	frg	--
LA1188	tf	--
LA1189	c	--
LA1189	pds	--
LA1190	pds	--
LA1190	yv	--
LA1191	ae	--
LA1191	spa	--
LA1192	ag	--
LA1192	hy	--
LA1194	aa	--
LA1195	bls	--
LA1196	ah	--
LA1197	lg	--
LA1199	pcv	--
LA1200	uf	--
LA1201	ae	--
LA1219	d	--
LA1219	u	--
LA1221	br	--
LA1221	h	--
LA1221	I	--
LA1221	Mi	--
LA1221	Tm-2	a
LA1221	Ve	--
LA1269	Ph-3	--
LA1402	j-2	in
LA1414	j-2	in
LA1430	bls	--
LA1430	Ln	--
LA1430	sf	--
LA1430	sy	--
LA1431	au	tl
LA1431	dgt	--
LA1432	wv-3	--
LA1433	l	--
LA1434	sy	--
LA1435	vo	--
LA1437	bu	cin
LA1441	a	--
LA1441	c	--
LA1441	coa	--
LA1441	hl	--
LA1442	dl	--
LA1442	glg	--
LA1442	marm	--
LA1443	al	--
LA1443	dgt	--
LA1443	l	--
LA1443	scf	--
LA1444	af	--
LA1444	d	--
LA1444	tf	--
LA1444	wv	--
LA1445	ag	--
LA1445	clau	--
LA1445	h	--
LA1445	icn	--
LA1445	su	3
LA1446	ah	--
LA1446	var	--
LA1484	ai	--
LA1485	ai	2
LA1486	au	6
LA1487	icn	--
LA1487	t	v
LA1488	ini	--
LA1488	neg	--
LA1489	c	--
LA1489	ves-2	--
LA1489	yv	--
LA1490	au	tl
LA1490	co	--
LA1490	dgt	--
LA1490	inv	--
LA1491	ae	--
LA1491	dgt	--
LA1491	scf	--
LA1491	spa	--
LA1492	bs	--
LA1492	ms-32	--
LA1493	au	--
LA1493	ms-32	--
LA1495	ful-3	--
LA1496	rv-4	--
LA1498	w-3	--
LA1500	Ip	--
LA1525	aa	--
LA1525	d	--
LA1526	are	--
LA1526	d	--
LA1526	wv	--
LA1527	c	--
LA1527	d-2	--
LA1528	a	--
LA1528	hl	--
LA1528	pcv	--
LA1529	au	tl
LA1529	co	--
LA1529	dgt	--
LA1529	inv	--
LA1529	scf	--
LA1530	au	tl
LA1530	com	--
LA1530	dgt	--
LA1530	inv	--
LA1530	scf	--
LA1531	Wo	v
LA1534	d	--
LA1534	tmf	--
LA1536	clau	--
LA1536	icn	--
LA1536	ra	--
LA1536	su	3
LA1563	Ip	--
LA1663	Ln	--
LA1663	Wo	m
LA1664	hp-1	--
LA1664	Ip	--
LA1665	ae	--
LA1665	dgt	--
LA1665	l	--
LA1665	scf	--
LA1666	ae	--
LA1666	bu	--
LA1666	dl	--
LA1666	l	--
LA1698	sp	--
LA1699	bip	--
LA1699	Wo	m
LA1700	aa	--
LA1700	d	--
LA1700	wv	--
LA1707	btl	--
LA1783	ad	--
LA1783	sp	--
LA1784	ae	afr
LA1784	gs	--
LA1784	h	--
LA1784	sp	--
LA1785	ae	afr
LA1785	gs	--
LA1785	u	--
LA1786	a	--
LA1786	bi	--
LA1786	c	--
LA1786	f	--
LA1786	j	--
LA1787	Bk-2	--
LA1787	en	--
LA1788	bs-2	--
LA1789	a	--
LA1789	sl	cs
LA1790	fli	--
LA1791	Frl	--
LA1791	Gp	--
LA1791	Tm-2	a
LA1792	Hero	--
LA1793	nor	--
LA1794	ri	--
LA1795	mc	--
LA1795	rin	--
LA1796	d	--
LA1796	gs	--
LA1796	h	--
LA1796	Rs	--
LA1797	d	--
LA1797	gf	--
LA1797	h	--
LA1797	Rs	--
LA1797	wf	--
LA1798	a	--
LA1798	h	--
LA1798	Rs	--
LA1798	wf	--
LA1799	rvt	--
LA1800	Se	--
LA1801	sl-2	--
LA1802	Sm	--
LA1803	sr	--
LA1804	sp	--
LA1804	sr	--
LA1804	u	--
LA1805	sr	--
LA1805	y	--
LA1806	al	--
LA1806	j	--
LA1806	ti	--
LA1806	wf	--
LA1806	y	--
LA1807	a	--
LA1807	e	--
LA1807	h	--
LA1807	mc	--
LA1807	ti	--
LA1807	u	--
LA1807	wf	--
LA1808	c	--
LA1808	mc	--
LA1808	ti	--
LA1810	Aps-1	n
LA1811	Aps-1	1
LA1812	Aps-1	2
LA1813	Aps-2	n
LA1814	Aps-2	1
LA1815	Aps-2	2
LA1816	Aps-2	3
LA1817	Est-1	n
LA1818	Est-1	1
LA1819	Est-1	2
LA1820	Est-1	3
LA1821	Est-1	4
LA1822	Got-1	1
LA1823	Got-1	2
LA1824	Got-2	n
LA1825	Got-2	1
LA1826	Got-2	2
LA1827	Got-2	3
LA1828	Got-2	4
LA1829	Got-3	n
LA1830	Got-3	1
LA1831	Got-3	2
LA1832	Got-3	3
LA1833	Got-4	n
LA1834	Got-4	1
LA1835	Got-4	2
LA1836	Prx-1	n
LA1837	Prx-1	1
LA1838	Prx-1	2
LA1839	Prx-1	3
LA1840	Prx-1	4
LA1841	Prx-1	5
LA1842	Prx-2	n
LA1843	Prx-2	1
LA1845	Prx-2	3
LA1846	Prx-3	n
LA1847	Prx-3	1
LA1848	Prx-3	2
LA1849	Prx-3	a1
LA1850	Prx-4	1
LA1851	Prx-4	2
LA1852	Prx-4	3
LA1853	Prx-4	4
LA1854	Prx-4	5
LA1855	Prx-4	6
LA1856	Prx-4	7
LA1857	Prx-4	8
LA1858	Prx-4	9
LA1859	Prx-4	10
LA1860	Prx-4	11
LA1861	Prx-4	12
LA1862	Prx-4	13
LA1863	Prx-4	14
LA1864	Prx-4	15
LA1865	Prx-4	16
LA1866	Prx-4	17
LA1867	Prx-4	18
LA1868	Prx-4	19
LA1869	Prx-4	20
LA1870	Prx-4	21
LA1871	Prx-4	22
LA1872	Prx-4	23
LA1873	Prx-7	1
LA1874	Prx-7	2
LA1875	Prx-7	n
LA1896	obv	--
LA1896	sp	--
LA1896	u	--
LA1908	Wo	mz
LA1995	rt	--
LA1996	Aft	--
LA1997	bn	sts
LA1998	bs-4	--
LA1999	btl	--
LA2000	buo	--
LA2001	car-2	--
LA2002	cb-2	--
LA2003	ck	--
LA2004	cu-2	--
LA2005	fn	--
LA2006	ft	--
LA2007	gh-2	--
LA2008	gm	--
LA2009	Ph	--
LA2010	ps-2	--
LA2011	rv-2	--
LA2012	sf	wl
LA2013	pat	--
LA2013	sha	--
LA2015	sn	--
LA2016	ss	--
LA2017	tc	--
LA2023	aus	--
LA2023	spl	--
LA2024	cit	--
LA2024	pm	--
LA2025	cls	--
LA2025	pm	--
LA2026	clt	--
LA2026	spl	--
LA2027	cma	--
LA2027	pm	--
LA2028	ctt	--
LA2028	spl	--
LA2029	cul	--
LA2029	pm	--
LA2030	dtt	--
LA2030	spl	--
LA2031	elu	--
LA2031	glm	--
LA2032	gbl	--
LA2032	spl	--
LA2033	dmd	--
LA2033	spl	--
LA2034	du	--
LA2034	spl	--
LA2035	eca	--
LA2035	pm	--
LA2036	elu	--
LA2037	fx	--
LA2037	spl	--
LA2038	frt	--
LA2038	spl	--
LA2039	elu	--
LA2039	fus	--
LA2040	gi	--
LA2040	pm	--
LA2041	elu	--
LA2041	gro	--
LA2042	ica	--
LA2042	pm	--
LA2043	ida	--
LA2043	pm	--
LA2044	lan	--
LA2044	pm	--
LA2045	elu	--
LA2045	li	--
LA2046	mcs	--
LA2046	spl	--
LA2047	mcr	--
LA2047	spl	--
LA2048	or	--
LA2048	pm	--
LA2049	pm	--
LA2049	pta	--
LA2050	pap	--
LA2050	pm	--
LA2051	psa	--
LA2051	spl	--
LA2052	pm	--
LA2053	pm	--
LA2053	pre	--
LA2054	elu	--
LA2054	ppa	--
LA2055	pm	--
LA2055	py	--
LA2056	pm	--
LA2056	r	(2s)
LA2057	rep-2	--
LA2057	spl	--
LA2058	elu	--
LA2058	so	--
LA2059	spl	--
LA2060	pm	--
LA2060	sta	--
LA2061	pm	--
LA2061	sup	--
LA2062	spl	--
LA2062	tn	--
LA2063	spl	--
LA2063	ub	--
LA2064	spl	--
LA2064	vt	--
LA2065	spl	--
LA2065	w-6	--
LA2069	br	--
LA2070	Frs	--
LA2071	d	--
LA2071	gf	--
LA2088	Asc	--
LA2088	I	--
LA2088	Tm-2	--
LA2088	Ve	--
LA2089	Epi	--
LA2090	ms-44	--
LA2336	r	--
LA2348	l	--
LA2348	x	--
LA2349	d	--
LA2349	f	--
LA2349	j	--
LA2349	p	--
LA2349	r	--
LA2349	wt	--
LA2350	a	--
LA2350	c	--
LA2350	ne	--
LA2350	p	--
LA2350	sp	--
LA2350	y	--
LA2351	c	--
LA2351	h	--
LA2351	l	--
LA2351	u	--
LA2352	c	--
LA2352	f	--
LA2352	j	--
LA2352	p	--
LA2353	n	--
LA2353	wt	--
LA2353	y	--
LA2354	br	--
LA2354	l	--
LA2354	p	--
LA2354	y	--
LA2355	sp	--
LA2355	ug	--
LA2356	Sw	a
LA2357	p	--
LA2357	r	--
LA2359	c	--
LA2359	r	--
LA2359	Wo	--
LA2359	y	--
LA2360	e	--
LA2360	l	--
LA2360	u	--
LA2360	wt	--
LA2361	ms-13	--
LA2362	ms-17	--
LA2363	c	--
LA2363	j	--
LA2363	t	--
LA2363	Wo	--
LA2363	wt	--
LA2363	y	--
LA2364	a	--
LA2364	c	--
LA2364	f	--
LA2364	j	--
LA2364	l	--
LA2364	u	--
LA2364	wt	--
LA2364	y	--
LA2365	r	--
LA2365	sp	--
LA2365	wd	--
LA2365	wf	--
LA2366	bk	--
LA2366	d	--
LA2366	ds	--
LA2366	j	--
LA2366	nc	--
LA2366	pox	--
LA2367	f	--
LA2367	m	--
LA2367	t	--
LA2367	y	--
LA2368	c	--
LA2368	j	--
LA2368	l	--
LA2368	mc	--
LA2368	r	--
LA2368	wt	--
LA2369	p	--
LA2369	Tm	--
LA2370	gs	--
LA2370	n	--
LA2370	wf	--
LA2371	c	--
LA2371	d	--
LA2371	f	--
LA2371	wf	--
LA2371	wt	--
LA2372	fl	--
LA2372	sp	--
LA2373	sl	--
LA2374	B	--
LA2375	Lc	--
LA2375	o	--
LA2377	B	c
LA2379	r	--
LA2379	wf	--
LA2396	Pto	--
LA2397	up	--
LA2398	cu-3	--
LA2399	sp	--
LA2400	sp	--
LA2400	u	--
LA2413	pat-2	--
LA2415	Est-1	1
LA2416	Adh-1	1
LA2417	Adh-1	2
LA2418	Est-1	1
LA2419	Est-1	5
LA2420	Est-2	1
LA2421	Est-3	1
LA2422	Est-4	1
LA2423	Est-4	2
LA2424	Est-4	3
LA2425	Est-4	4
LA2426	Est-4	5
LA2427	Est-4	6
LA2428	Est-4	7
LA2429	Est-4	8
LA2430	Est-5	1
LA2431	Est-6	1
LA2432	Est-7	1
LA2433	Est-7	2
LA2434	Pgdh-3	1
LA2435	Pgi-1	1
LA2436	Pgi-1	2
LA2437	Pgm-1	1
LA2438	Pgm-2	1
LA2439	Skdh-1	1
LA2440	Tpi-2	1
LA2441	d	--
LA2441	m-2	--
LA2441	mc	--
LA2441	rvt	--
LA2441	t	--
LA2441	u	--
LA2442	ae	afr
LA2443	Cf-1	--
LA2444	Cf-2	--
LA2445	Cf-3	--
LA2446	Cf-4	--
LA2447	Cf-1	3
LA2448	Cf-6	--
LA2449	Cf-7	--
LA2450	bu	cin-2
LA2451	hp-2	dg
LA2452	B	og
LA2452	f	--
LA2452	gf	--
LA2452	y	--
LA2453	Gr	--
LA2453	u	--
LA2454	neg	ne-2
LA2454	u	--
LA2455	Nr-2	--
LA2456	h	--
LA2456	u	--
LA2457	pdw	--
LA2457	so	--
LA2457	u	--
LA2458	j-2	--
LA2458	Pto	--
LA2458	sp	--
LA2458	u	--
LA2459A	rd	--
LA2459B	rd	--
LA2460	sft	--
LA2461	sp	--
LA2461	stu	--
LA2461	u	--
LA2462	tmf	--
LA2463	ul	--
LA2464A	aer-2	--
LA2464A	r	--
LA2464A	upg	--
LA2464A	y	--
LA2464B	r	--
LA2464B	u	--
LA2464B	upg	--
LA2464B	y	--
LA2465	sp	--
LA2465	u	--
LA2465	v-2	--
LA2466	d	--
LA2466	t	v
LA2466	v-3	--
LA2467	lg	--
LA2467	pe	--
LA2467	u	--
LA2467	vi	--
LA2468	yc	--
LA2469A	yg-2	--
LA2469B	yg-2	--
LA2470	Xa	--
LA2471	Xa-2	--
LA2472	Xa-3	--
LA2473	alb	--
LA2473	c	--
LA2473	gra	--
LA2473	sft	--
LA2474	d	--
LA2474	gq	--
LA2474	pst	--
LA2474	ug	--
LA2474	y	--
LA2475	al	--
LA2475	gs	--
LA2475	h	--
LA2475	hp-1	--
LA2475	inc	--
LA2475	Nr	--
LA2475	tf	--
LA2475	ug	--
LA2476	af	--
LA2476	d	--
LA2476	marm	--
LA2476	mc	--
LA2476	ro	--
LA2476	rvt	--
LA2476	sf	--
LA2476	sp	--
LA2477	cjf	--
LA2477	h	--
LA2477	l	--
LA2477	sp	--
LA2477	u	--
LA2477	vo	--
LA2477	wf	--
LA2478	ae	afr
LA2478	gs	--
LA2478	h	--
LA2478	r	--
LA2479	ck	--
LA2479	d	--
LA2479	p	--
LA2479	s	--
LA2480	aw	--
LA2480	ck	--
LA2480	d	--
LA2480	m	--
LA2480	o	--
LA2480	p	--
LA2481	bls	--
LA2481	com	in
LA2481	fn	--
LA2481	gs	--
LA2481	mc	--
LA2481	wf	--
LA2482	c	--
LA2482	fu	--
LA2482	gs	--
LA2482	h	--
LA2482	hp-1	--
LA2482	mc	--
LA2482	r	--
LA2482	u	--
LA2482	wf	--
LA2483	fu	--
LA2483	gs	--
LA2483	hp-1	--
LA2483	mc	--
LA2483	pdw	--
LA2483	u	--
LA2483	wf	--
LA2485	a	--
LA2485	c	--
LA2485	d	--
LA2485	gf	--
LA2485	gs	--
LA2485	h	--
LA2485	inc	--
LA2485	l	--
LA2485	mc	--
LA2485	r	--
LA2485	wf	--
LA2485	y	--
LA2486	inc	--
LA2486	pds	--
LA2486	sp	--
LA2486	t	--
LA2486	u	--
LA2487	c	int
LA2487	sp	--
LA2487	t	--
LA2487	u	--
LA2488	a	--
LA2488	alb	--
LA2488	h	--
LA2488	mon	--
LA2488	r	--
LA2488	y	--
LA2489	a	--
LA2489	neg	ne-2
LA2490	dl	--
LA2490	mc	--
LA2490	pdw	--
LA2490	pst	--
LA2491	c	--
LA2491	dl	--
LA2491	gs	--
LA2491	h	--
LA2491	j	--
LA2491	mc	--
LA2491	stu	--
LA2491	u	--
LA2492	a	--
LA2492	e	--
LA2492	mc	--
LA2492	ti	--
LA2492	u	--
LA2492	wf	--
LA2493	ag	--
LA2493	h	--
LA2493	hy	--
LA2493	Xa-2	--
LA2494	h	--
LA2494	l-2	--
LA2494	t	--
LA2494	u	--
LA2495	ag	--
LA2495	al	--
LA2495	h	--
LA2495	ten	--
LA2495	Xa-2	--
LA2496	h	--
LA2496	l-2	--
LA2496	t	--
LA2496	Xa-2	--
LA2497	ag	--
LA2497	h	--
LA2497	hy	--
LA2497	icn	--
LA2497	u	--
LA2498	h	--
LA2498	u	--
LA2498	Xa-3	--
LA2499	nor	--
LA2499	t	--
LA2499	u	--
LA2500	h	--
LA2500	icn	--
LA2500	u	--
LA2501	ag	--
LA2501	h	--
LA2501	icn	--
LA2501	u	--
LA2502	auv	--
LA2502	h	--
LA2502	l-2	--
LA2502	t	v
LA2502	u	--
LA2503	ag	--
LA2503	h	--
LA2503	l-2	--
LA2503	t	v
LA2503	u	--
LA2504	ag	--
LA2504	h	--
LA2504	nd	--
LA2504	t	--
LA2504	u	--
LA2505	ag	--
LA2505	l-2	--
LA2505	t	--
LA2505	u	--
LA2505	Xa	--
LA2506	ag	--
LA2506	h	--
LA2506	l-2	--
LA2506	oli	--
LA2506	t	v
LA2507	ag	--
LA2507	h	--
LA2507	nd	--
LA2507	t	--
LA2508	ag	--
LA2508	h	--
LA2508	t	--
LA2508	Xa	--
LA2509	ag	--
LA2509	l-2	--
LA2509	oli	--
LA2509	t	v
LA2509	wf	--
LA2510	a	--
LA2510	d	--
LA2510	gf	--
LA2510	gs	--
LA2510	h	--
LA2510	inc	--
LA2510	mc	--
LA2510	r	--
LA2510	wf	--
LA2511	c	--
LA2511	gf	--
LA2511	stu	--
LA2511	u	--
LA2511	vo	--
LA2511	wf	--
LA2512	c	--
LA2512	gf	--
LA2512	gs	--
LA2512	h	--
LA2512	hp-1	--
LA2512	lg	--
LA2512	m-2	--
LA2512	marm	--
LA2512	pe	--
LA2512	r	--
LA2512	wf	--
LA2512	y	--
LA2513	a	--
LA2513	c	--
LA2513	d	--
LA2513	gf	--
LA2513	gs	--
LA2513	h	--
LA2513	marm	--
LA2513	mc	--
LA2513	r	--
LA2513	wf	--
LA2513	y	--
LA2514	at	--
LA2514	c	--
LA2514	d	--
LA2514	gs	--
LA2514	m-2	--
LA2514	mc	--
LA2514	sp	--
LA2514	u	--
LA2514	y	--
LA2514	yg-2	--
LA2515	a	--
LA2515	c	--
LA2515	gf	--
LA2515	gs	--
LA2515	m-2	--
LA2515	r	--
LA2515	sp	--
LA2515	u	--
LA2515	wf	--
LA2515	y	--
LA2515	yg-2	--
LA2516	c	--
LA2516	cjf	--
LA2516	h	--
LA2516	j	--
LA2516	lg	--
LA2516	pe	--
LA2516	r	--
LA2516	rvt	--
LA2516	tmf	--
LA2516	u	--
LA2516	vo	--
LA2516	wf	--
LA2517	c	--
LA2517	gf	--
LA2517	gs	--
LA2517	h	--
LA2517	hp-1	--
LA2517	m-2	--
LA2517	marm	--
LA2517	r	--
LA2517	rvt	--
LA2517	wf	--
LA2518	c	--
LA2518	dgt	dp
LA2518	gf	--
LA2518	gs	--
LA2518	h	--
LA2518	m-2	--
LA2519	c	--
LA2519	cl	--
LA2519	gf	--
LA2519	gs	--
LA2519	h	--
LA2519	hp-1	--
LA2519	mc	--
LA2519	r	--
LA2519	wf	--
LA2520	c	--
LA2520	gs	--
LA2520	h	--
LA2520	hp-1	--
LA2520	l	--
LA2520	m-2	--
LA2520	marm	--
LA2520	mc	--
LA2520	r	--
LA2520	wf	--
LA2521	a	--
LA2521	c	--
LA2521	clau	--
LA2521	gf	--
LA2521	gs	--
LA2521	h	--
LA2521	m-2	--
LA2521	marm	--
LA2521	r	--
LA2521	u	--
LA2522	c	--
LA2522	gf	--
LA2522	h	--
LA2522	hp-1	--
LA2522	m-2	--
LA2522	marm	--
LA2522	mc	--
LA2522	r	--
LA2523	c	--
LA2523	h	--
LA2523	j	--
LA2523	mc	--
LA2523	pdw	--
LA2523	r	--
LA2523	u	--
LA2524	af	--
LA2524	sd	--
LA2525	af	--
LA2525	sd	--
LA2526	dgt	dp
LA2526	sp	--
LA2526	u	--
LA2527	l	--
LA2527	sp	--
LA2527	u	--
LA2528	j	--
LA2528	sf	--
LA2528	ti	--
LA2528	wf	--
LA2528	y	--
LA2529	alc	--
LA2530	Ora	--
LA2531A	pyl	--
LA2531A	sp	--
LA2531A	Tm-2	a
LA2531B	pyl	--
LA2531B	Ve	--
LA2531C	pyl	--
LA2531C	Tm-2	a
LA2532	Pts	--
LA2591	ag	--
LA2591	h	--
LA2591	Xa-2	--
LA2592	ag	--
LA2592	h	--
LA2592	t	--
LA2592	u	--
LA2593	ag	--
LA2593	auv	--
LA2593	u	--
LA2595	al	--
LA2595	br	--
LA2595	d	--
LA2595	dm	--
LA2595	f	--
LA2595	h	--
LA2595	j	--
LA2595	wt	--
LA2596	a	--
LA2596	at	--
LA2596	c	--
LA2596	d	--
LA2596	m-2	--
LA2596	sp	--
LA2596	u	--
LA2596	wf	--
LA2596	y	--
LA2596	yg-2	--
LA2597	c	--
LA2597	gf	--
LA2597	gs	--
LA2597	h	--
LA2597	m-2	--
LA2597	marm	--
LA2597	mc	--
LA2597	r	--
LA2597	wf	--
LA2597	y	--
LA2598	a	--
LA2598	at	--
LA2598	c	--
LA2598	gs	--
LA2598	m-2	--
LA2598	sp	--
LA2598	u	--
LA2598	wf	--
LA2598	y	--
LA2598	yg-2	--
LA2599	a	--
LA2599	at	--
LA2599	c	--
LA2599	gf	--
LA2599	h	--
LA2599	m-2	--
LA2599	wf	--
LA2599	y	--
LA2599	yg-2	--
LA2600	a	--
LA2600	at	--
LA2600	c	--
LA2600	m-2	--
LA2600	sp	--
LA2600	u	--
LA2600	wf	--
LA2600	y	--
LA2600	yg-2	--
LA2601	e	--
LA2601	gf	--
LA2601	gs	--
LA2601	mc	--
LA2601	t	--
LA2601	u	--
LA2601	y	--
LA2602	c	--
LA2602	dgt	dp
LA2602	gs	--
LA2602	hp-1	--
LA2602	m-2	--
LA2602	marm	--
LA2602	r	--
LA2602	scf	--
LA2602	u	--
LA2602	wf	--
LA2603	c	--
LA2603	dgt	dp
LA2603	gs	--
LA2603	hp-1	--
LA2603	marm	--
LA2603	r	--
LA2603	scf	--
LA2603	u	--
LA2603	wf	--
LA2605	a	--
LA2605	c	--
LA2605	dgt	dp
LA2605	gs	--
LA2605	hp-1	--
LA2605	marm	--
LA2605	r	--
LA2605	scf	--
LA2605	wf	--
LA2606	cjf	--
LA2606	j	--
LA2606	j-2	--
LA2606	lg	--
LA2606	Nr-2	--
LA2606	pe	--
LA2606	tmf	--
LA2607	c	--
LA2607	cjf	--
LA2607	gs	--
LA2607	h	--
LA2607	j	--
LA2607	lg	--
LA2607	marm	--
LA2607	pe	--
LA2607	tmf	--
LA2607	wf	--
LA2608	c	--
LA2608	d	--
LA2608	gf	--
LA2608	h	--
LA2608	lg	--
LA2608	marm	--
LA2608	pe	--
LA2608	r	--
LA2608	tmf	--
LA2609	c	--
LA2609	d	--
LA2609	gf	--
LA2609	h	--
LA2609	lg	--
LA2609	marm	--
LA2609	pe	--
LA2609	r	--
LA2609	tmf	--
LA2611	c	--
LA2611	gf	--
LA2611	gs	--
LA2611	h	--
LA2611	hp-1	--
LA2611	lg	--
LA2611	m-2	--
LA2611	marm	--
LA2611	pe	--
LA2611	wf	--
LA2612	a	--
LA2612	at	--
LA2612	c	--
LA2612	d	--
LA2612	gs	--
LA2612	m-2	--
LA2612	sp	--
LA2612	u	--
LA2612	yg-2	--
LA2644	sh	--
LA2705	sp	prov2
LA2707	v-3	--
LA2708	yg-9	--
LA2712	ms-32	--
LA2713	ms-32	--
LA2714	ms-32	--
LA2715	ms-32	--
LA2796	lg	--
LA2796	pe	--
LA2796	vi	--
LA2797	bu	--
LA2797	f	--
LA2797	j	--
LA2798	f	--
LA2798	h	--
LA2798	ri	--
LA2799	f	--
LA2799	h	--
LA2799	j	--
LA2799	l	--
LA2799	wt	--
LA2800	hl	--
LA2800	l	--
LA2802	crt	--
LA2816	brt	--
LA2818	Ve	--
LA2819	Mi	--
LA2820	Mi	--
LA2820	Ve	--
LA2821	I	--
LA2821	I-2	--
LA2821	Sm	--
LA2821	Ve	--
LA2822	I	--
LA2822	Mi	--
LA2822	Ve	--
LA2823	I	--
LA2823	I-2	--
LA2823	Mi	--
LA2823	Sm	--
LA2823	Ve	--
LA2824	pyl	--
LA2824	Ve	--
LA2825	Tm	--
LA2826	Mi	--
LA2826	Tm	--
LA2827	Tm-2	a
LA2827	Ve	--
LA2828	Tm-2	a
LA2828	Ve	--
LA2829	aa	--
LA2829	Tm-2	a
LA2829	Ve	--
LA2830	Tm	--
LA2830	Tm-2	a
LA2830	Ve	--
LA2837	au	w
LA2838	pro	--
LA2892	ls	--
LA2893	gib-1	--
LA2894	gib-2	--
LA2895	gib-3	--
LA2896	pct	--
LA2898	r	--
LA2901	Aco-1	1
LA2902	Aco-1	2
LA2903	Aco-1	3
LA2904	ctr	1
LA2905	Aco-2	2
LA2906	Idh-1	1
LA2907	Mdh-2	1
LA2908	Nir-1	1
LA2909	Sod-1	1
LA2910	Sod-2	1
LA2911	Tm-2	a
LA2912	br	--
LA2912	I	--
LA2912	Mi	--
LA2912	Tm-2	--
LA2912	Ve	--
LA2916	vg	--
LA2918	bu	--
LA2919	cm	--
LA2920	def-2	--
LA2921	Del	--
LA2922	e	--
LA2923	lyr	--
LA2924	lz-2	--
LA2925	pr	--
LA2926	yg-3	--
LA2927	yg-4	--
LA2928	yg-5	--
LA2928A	yg-5	--
LA2928B	yg-5	--
LA2929	au	6
LA2934	Pto	Pto-2
LA2935	bs	--
LA2936	uf	--
LA2968	Tm-2	a
LA2984	gfl	--
LA2985	Adh-2	1
LA2986	Bnag-1	1
LA2987	Dia-2	1
LA2988	Est-8	1
LA2989	Fdh-1	1
LA2990	Mdh-4	1
LA2991	Pgdh-2	1
LA2992	Asc	--
LA2993	gib-3	x
LA2994	btl	--
LA2994	fer	--
LA2995	vo	--
LA2996A	Del	--
LA2996B	Del	--
LA2996C	Del	--
LA2997	r	--
LA2998	at	--
LA2999	gf	--
LA3000	B	--
LA3001	Nr	--
LA3002	t	--
LA3003	r	--
LA3004	hp-1	--
LA3005	hp-2	dg
LA3006	hp-2	--
LA3009	l	prov4
LA3011	hp-2	dg
LA3012	mc	--
LA3012	rin	--
LA3013	nor	--
LA3014	ah	--
LA3015	aa	--
LA3017	ae	--
LA3018	ae	--
LA3019	bls	--
LA3020	af	--
LA3021	u	+
LA3022	d	--
LA3023	j	--
LA3025	I	--
LA3026	I	--
LA3026	Ve	--
LA3027	Tm-2	--
LA3028	Tm-2	a
LA3029	I	--
LA3029	Tm-2	a
LA3029	Ve	--
LA3031	d	--
LA3033	j	--
LA3035	obv	--
LA3035	u	--
LA3036	u	+
LA3037	sp	+
LA3038	I	--
LA3038	Ve	--
LA3039	sp	--
LA3039	Ve	--
LA3040	I	--
LA3040	sp	--
LA3040	Ve	--
LA3041	I	--
LA3041	sp	--
LA3041	u	--
LA3041	Ve	--
LA3042	I	--
LA3043	Cf-2	--
LA3044	Cf-3	--
LA3045	Cf-4	--
LA3046	Cf-1	3
LA3047	Cf-9	--
LA3048	Cf-?	--
LA3049	Cf-?	--
LA3050	Cf-?	--
LA3051	Cf-4	--
LA3052	afl	--
LA3053	atn	--
LA3054	au	--
LA3055	yg-2	aud
LA3056	cb-2	--
LA3057	clau	--
LA3058	con	--
LA3059	Cu	--
LA3060	deb	--
LA3061	depa	--
LA3062	dil	--
LA3063	dim-2	--
LA3064	ds	--
LA3065	fd	--
LA3066	fla	--
LA3067	flc	--
LA3068	fle	--
LA3069	Fw	--
LA3070	fu	--
LA3071	ga	--
LA3072	icn	--
LA3073	ig	--
LA3074	imb	--
LA3075	glo	2
LA3076	irr	--
LA3077	lut	--
LA3078	ls	--
LA3078	y	--
LA3079	lg	--
LA3080	lg-2	--
LA3081	Me	--
LA3082	mn	--
LA3083	muv-2	--
LA3084	ne	--
LA3085	nd	--
LA3086	neg	--
LA3087	pli	--
LA3088	pl	--
LA3089	Pn	--
LA3090	res	--
LA3091A	ri	--
LA3092	rl	--
LA3093	rot	--
LA3094	s	--
LA3095	sf	--
LA3096	si	--
LA3097	spl	--
LA3098	ss	--
LA3099	suf	--
LA3100	sy	--
LA3101	tab	--
LA3102	Tm-2	a
LA3103	u	--
LA3104	v-2	--
LA3105	sf	--
LA3106	Xa-2	--
LA3107	Xa-3	--
LA3108	yg-2	--
LA3109	yv	--
LA3118	Lv	--
LA3119	Lv	--
LA3127	Ln	G
LA3128	Ln	G
LA3128	t	--
LA3128	up	--
LA3129	Pto	2
LA3130	I	--
LA3130	I-2	--
LA3130	sp	--
LA3130	u	--
LA3130	Ve	--
LA3132	aa	--
LA3132	ms-10	--
LA3132	Prx-2	1
LA3133	sp	--
LA3134	alc	--
LA3142	ndw	--
LA3149	ag	k
LA3149	ms-50	--
LA3150	Adh-1	n
LA3151	Ph-2	--
LA3152	Ph-2	--
LA3163	ag	--
LA3164	ag	2
LA3165	yg-2	aud
LA3166	aut	--
LA3167	bls	--
LA3168	c	--
LA3169	cb-2	--
LA3170	dim-2	--
LA3171	dpy	--
LA3172	h	--
LA3173	icn	--
LA3174	Jau	--
LA3175	lg	--
LA3176	lg-5	--
LA3177	Lx	--
LA3178	nc	--
LA3179	B	c
LA3180	ri	--
LA3181	s	--
