AccessionNum	Gene	Allele
LA0294	B	og
LA0295	gh	--
LA0296	br	--
LA0296	wf	--
LA0297	Nr	--
LA0297	tf	--
LA0297	ug	--
LA0298	dv	--
LA0298	tf	--
LA0298	Wo	--
LA0298	Xa	--
LA0299	ag	--
LA0299	rv	--
LA0299	wf	--
LA0300	ag	--
LA0300	dv	--
LA0300	u	--
LA0301	bu	--
LA0301	yv	--
LA0302	ag	--
LA0302	dv	--
LA0302	h	--
LA0302	sp	--
LA0303	ah	--
LA0303	rv	--
LA0304	ah	--
LA0304	dl	--
LA0304	yv	--
LA0305	ah	--
LA0305	wo	m
LA0306	ah	--
LA0306	c	--
LA0306	d	--
LA0306	l	--
LA0307	dl	--
LA0307	Wo	m
LA0307	yv	--
LA0308	ag	--
LA0308	dv	--
LA0308	H	--
LA0308	sp	--
LA0309	tf	--
LA0309	Wo	m
LA0310	d	--
LA0310	Wo	m
LA0311	d	--
LA0311	rv	--
LA0311	wt	--
LA0312	cm	--
LA0312	f	--
LA0312	u	--
LA0312	vms	--
LA0313	d	--
LA0315	j-2	--
LA0316	B	--
LA0318	ms-16	--
LA0319	ms-17	--
LA0320	a	--
LA0320	d	--
LA0320	l	--
LA0321	a	--
LA0321	c	--
LA0321	d	--
LA0321	l	--
LA0321	ms-17	--
LA0322	a	--
LA0322	e	--
LA0322	wf	--
LA0323	a	--
LA0323	e	--
LA0323	ms-16	--
LA0323	wf	--
LA0324	Me	--
LA0325	Cu	--
LA0326	pr	--
LA0328	H	--
LA0328	t	--
LA0328	Xa	--
LA0329	ls	--
LA0330	bk	--
LA0330	d	--
LA0330	o	--
LA0330	p	--
LA0330	r	--
LA0330	s	--
LA0330	y	--
LA0332	ah	--
LA0332	ds	--
LA0332	yv	--
LA0335	La	--
LA0336	a	--
LA0336	c	--
LA0336	sp	--
LA0336	y	--
LA0339	ag	--
LA0339	u	--
LA0340	e	--
LA0340	Wo	m
LA0341	ag	--
LA0341	h	--
LA0341	ms-02	--
LA0342	d	--
LA0342	ms-17	--
LA0342	Wo	m
LA0343	ah	--
LA0343	dl	--
LA0343	ms-17	--
LA0343	yv	--
LA0344	ah	--
LA0344	Cu	--
LA0344	dl	--
LA0344	yv	--
LA0345	ch	--
LA0345	j-2	--
LA0347	at	--
LA0347	cm	--
LA0347	Od	--
LA0348	B	og
LA0351	t	v
LA0352	ah	prov6
LA0353	r	prov5
LA0359	ms-32	--
LA0422	ag	2
LA0458	Cmr	--
LA0458	Lv	--
LA0490	I	--
LA0490	sp	--
LA0490	Ve	--
LA0495	ag	--
LA0495	e	--
LA0495	H	--
LA0495	wf	--
LA0496	ah	--
LA0496	dl	--
LA0496	wd	--
LA0497	ch	--
LA0497	j-2	--
LA0497	sf	--
LA0498	hp-1	--
LA0498	ls	--
LA0499	at	--
LA0499	cm	--
LA0499	Od	--
LA0499	snt	--
LA0500	B	og
LA0501	Hrt	--
LA0503	slx	--
LA0505	Lx	--
LA0507	d	--
LA0507	f	--
LA0507	gf	--
LA0507	H	--
LA0508	a	--
LA0508	c	--
LA0508	d	--
LA0508	gf	--
LA0508	r	--
LA0508	y	--
LA0509	clau	prov2
LA0511	a	--
LA0511	c	--
LA0511	ps	--
LA0511	y	--
LA0512	mc	--
LA0512	obv	--
LA0512	tf	--
LA0512	wt	--
LA0513	bu	--
LA0513	dl	--
LA0513	l	--
LA0514	aw	--
LA0514	d	--
LA0514	Wo	m
LA0517	f	--
LA0519	mps	--
LA0533	al	--
LA0533	Ge	c
LA0536	an	--
LA0537	aeg	--
LA0538	au	(1s)
LA0539	car	--
LA0540	cla	--
LA0541	con	--
LA0542	deb	--
LA0543	def	--
LA0544	dep	--
LA0545	dil	--
LA0546	ele	--
LA0547	elu	--
LA0548	fla	--
LA0549	bu	ab
LA0550	ful	--
LA0551	glo	--
LA0552	imb	--
LA0553	inf	--
LA0554	inv	--
LA0555	jug	--
LA0556	lat	--
LA0557	luc	--
LA0558	lut	--
LA0559	marm	--
LA0560	mult	--
LA0561	na	--
LA0562	neg	--
LA0563	pal	--
LA0564	per	--
LA0565	pro	--
LA0566	prun	--
LA0567	pum	--
LA0568	pur	--
LA0569	ra	--
LA0570	d	cr
LA0571	d	im
LA0572	l	2
LA0573	rust	--
LA0574	sit	--
LA0575	stri	--
LA0576	sub	--
LA0577	suf	--
LA0578	ten	--
LA0579	tf	2
LA0580	uni	--
LA0581	va	dec
LA0582	va	virg
LA0583	var	--
LA0584	ven	--
LA0585	vir	--
LA0586	ele	2
LA0587	atn	--
LA0588	bc	--
LA0589	bul	--
LA0590	cn	--
LA0591	clau	--
LA0592	co	--
LA0593	cv	--
LA0594	de	--
LA0595	deli	--
LA0596	depa	--
LA0597	dim	--
LA0598	dis	--
LA0599	su	3
LA0600	er	--
LA0601	exl	--
LA0602	fir	--
LA0603	flav	--
LA0604	bu	hem
LA0605	fu	--
LA0606	glau	--
LA0607	gra	--
LA0608	ig	--
LA0609	inc	--
LA0610	com	in
LA0611	c	int
LA0612	glo	2
LA0613	irr	--
LA0614	mn	--
LA0615	mon	--
LA0616	su	ni
LA0617	not	--
LA0618	op	--
LA0619	pau	--
LA0620	pic	--
LA0621	pu	--
LA0622	rela	--
LA0623	rep	--
LA0624	re	--
LA0625	d-2	--
LA0626	ru	--
LA0627	squa	--
LA0628	su	--
LA0629	tab	--
LA0630	um	--
LA0631	yv	3
LA0632	ver	--
LA0633	vio	--
LA0634	def	2
LA0635	rv	--
LA0635	sf	--
LA0636	ah	--
LA0636	yv	--
LA0637	tf	--
LA0637	Wo	--
LA0637	Xa	--
LA0638	d	--
LA0638	ht	--
LA0638	r	--
LA0639	aw	--
LA0639	d	--
LA0639	Me	--
LA0640	c	--
LA0640	yv	--
LA0641	au	(1s)
LA0642	al	--
LA0642	d	--
LA0642	h	--
LA0642	j	--
LA0642	l-2	--
LA0642	u	--
LA0642	wt	--
LA0643	l-2	--
LA0643	u	--
LA0644	r	--
LA0644	wf	--
LA0645	j	--
LA0646	d	--
LA0646	gh	--
LA0646	r	--
LA0647	B	--
LA0647	gh	--
