#	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity 	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape 	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance
#	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix 	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix
accession	Line #	Plot Number	Replicate Number	date	SP:0000009|	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|scale:PVP	SP:0000198|unit:kilogram	SP:0000217|unit:	filename	SP:0000185|scale:PVP	SP:0000186|scale:NE1014	SP:0000188|scale:PVP	SP:0000201|scale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:millimeter	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014
A05141-95|2	A05141-95	62-45	2	2009/09/23	MRP^	4	2	5	47.6	1.089		5	3	1	4				3	5	7
A05141-96|1	A05141-96	63-08	1	2009/09/23	LRP^	5	2	5	7.84728	1.094	A05141-96 Tuber.JPG	6	3	1	5	10.85	5.89	5.16	5	5	7
A05141-96|2	A05141-96	62-41	2	2009/09/23	LRP^	5	3	3	30	1.094		6	3	1	4				5	3	7
A05141-98|1	A05141-98	62-07	1	2009/09/23	MRP^	4	3	5	2.90304	1.09	A05141-98 Tuber.JPG	5	4	1	3	7.21	5.45	4.6	3	1	3
A05141-98|2	A05141-98	65-28	2	2009/09/23	MRP^	4	2	3	3.6	1.088		5	4	1	4				5	1	5
A05141-99|1	A05141-99	64-09	1	2009/09/23	LRP^	7	5	7	9.43488	1.088	A05141-99 Tuber.JPG	6	3	1	4	12	6.54	6	7	7	7
A05141-99|2	A05141-99	62-47	2	2009/09/23	LRP^	6	3	7	39.4	1.085		4	5	1	4				5	5	7
A05141-100|1	A05141-100	63-19	1	2009/09/23	MRP	5	2	7	15.01416	1.084	A05141-100 Tuber.JPG	4	6	1	5	14.48	6.22	6.01	5	7	5
A05141-100|2	A05141-100	64-49	2	2009/09/23	MRP	6	5	7	52.4	1.089		4	5	1	5				7	9	7
A05141-101|1	A05141-101	63-18	1	2009/09/23	LRP	7	5	7	11.47608	1.088	A05141-101 Tuber.JPG	5	4	1	5	11.96	5.41	5.11	5	7	5
A05141-101|2	A05141-101	63-37	2	2009/09/23	LRP	7	7	7	37.4	1.088		5	4	1	5				5	3	5
A05141-102|1	A05141-102	63-16	1	2009/09/23	W	4	2	5	6.39576	1.091	A05141-102 Tuber.JPG	5	4	1	5	11.4	5.5	4.93	5	5	5
A05141-102|2	A05141-102	62-50	2	2009/09/23	W	8	4	5	20.9	1.103		4	5	1	5				1	3	1
A05141-105|1	A05141-105	64-20	1	2009/09/23	MRP^	5	6	5	11.34	1.075	A05141-105 Tuber.JPG	4	5	1	5	12.85	6.49	5.5	7	7	7
A05141-105|2	A05141-105	64-43	2	2009/09/23	MRP^	8	6	3	44.3	1.078		4	5	1	5				5	9	7
A05141-106|1	A05141-106	62-02	1	2009/09/23	LRP^	8	5	3	6.98544	1.094	A05141-106 Tuber.JPG	4	5	1	5	15.2	6.54	6.06	5	9	7
A05141-106|2	A05141-106	62-34	2	2009/09/23	LRP^	8	6	3	27.6	1.087		4	5	1	5				5	9	5
A05141-107|1	A05141-107	63-20	1	2009/09/23	W	8	7	3	9.7524	1.086	A05141-107 Tuber.JPG	5	4	1	5	11.87	6.15	5.53	5	7	7
A05141-107|2	A05141-107	63-38	2	2009/09/23	W	8	7	5	32.5	1.083		5	4	1	5				7	9	7
A05141-109|1	A05141-109	64-02	1	2009/09/23	MRP^	8	8	5	7.16688	1.069	A05141-109 Tuber.JPG	5	4	1	5	12.6	5.75	5.42	5	7	5
A05141-109|2	A05141-109	63-31	2	2009/09/23	MRP^	8	7	5	29.8	1.069		5	4	1	5				5	5	7
A05141-110|1	A05141-110	62-06	1	2009/09/23	LRP^	5	3	5	7.2576	1.086	A05141-110 Tuber.JPG	6	3	1	4	13.83	7.37	6.24	5	7	5
A05141-110|2	A05141-110	63-41	2	2009/09/23	LRP^	6	3	7	27.7	1.077		5	4	1	5				9	9	7
A05141-111|1	A05141-111	65-01	1	2009/09/23	MRP^	7	4	3	7.34832	1.091	A05141-111 Tuber.JPG	4	5	1	5	13.16	6	5.14	1	3	1
A05141-111|2	A05141-111	63-48	2	2009/09/23	MRP^	7	5	3	22.3	1.087		4	6	1	5				1	3	1
A05141-112|1	A05141-112	62-09	1	2009/09/23	W	8	5	3	6.66792	1.091	A05141-112 Tuber.JPG	4	4	1	5	14.2888888888889	6.13	5.38	5	7	5
A05141-112|2	A05141-112	63-36	2	2009/09/23	W	7	5	5	24.6	1.091		4	6	1	5				3	7	5
A05141-114|1	A05141-114	64-03	1	2009/09/23	NF	3	1	3	0.81648	1.106	A05141-114 Tuber.JPG	5	4	1	2	4.43	3.09	2.8	5	1	3
A05141-114|2	A05141-114	65-43	2	2009/09/23	NF	3	1	3	0	1.117		6	3	1	4				3	1	1
A05141-115|1	A05141-115	63-05	1	2009/09/23	LRP^	5	4	5	6.07824	1.095	A05141-115 Tuber.JPG	5	4	1	5	15.26	4.69	4.3	5	5	3
A05141-115|2	A05141-115	64-50	2	2009/09/23	LRP^	7	5	5	22.7	1.09		5	4	1	5				3	5	3
A05141-116|1	A05141-116	64-13	1	2009/09/23	LRP^	3	1	5	5.80608	1.079	A05141-116 Tuber.JPG	4	5	1	5	11.5	4.75	4.4	5	5	5
A05141-116|2	A05141-116	62-38	2	2009/09/23	LRP^	3	1	7	17.4	1.075		1	6	1	5				1	5	5
A05141-118|1	A05141-118	63-07	1	2009/09/23	NF	3	1	3	1.95048	1.09	A05141-118 Tuber.JPG	6	3	1	3	4.53333333333333	3.7	3.27777777777778	5	1	1
A05141-118|2	A05141-118	64-42	2	2009/09/23	NF	3	1	5	2	1.081		5	4	1	3				5	1	5
A05141-119|1	A05141-119	62-17	1	2009/09/23	MRP^	8	8	5	6.89472	1.077	A05141-119 Tuber.JPG	5	4	1	5	11.62	5.68	5.26	3	7	7
A05141-119|2	A05141-119	63-26	2	2009/09/23	MRP^	8	8	5	23.4	1.076		4	5	1	5				5	5	3
A05141-120|1	A05141-120	65-11	1	2009/09/23	W	8	8	3	5.53392	1.089	A05141-120 Tuber.JPG	4	5	1	4	11.33	5.61	5.12	5	5	7
A05141-120|2	A05141-120	62-44	2	2009/09/23	W	7	7	5	18.4	1.084		4	5	1	5				3	3	7
A05141-121|1	A05141-121	62-14	1	2009/09/23	MRP*	6	3	5	9.2988	1.079	A05141-121 Tuber.JPG	4	6	1	4	12.35	6.45	6.09	5	7	7
A05141-121|2	A05141-121	62-51	2	2009/09/23	MRP*	7	4	5	36.5	1.084		4	5	1	4				5	5	7
A05141-123|1	A05141-123	62-12	1	2009/09/23	W	8	8	3	8.89056	1.081	A05141-123 Tuber.JPG	6	3	1	5	13.66	5.95	5.38	5	9	9
A05141-123|2	A05141-123	62-28	2	2009/09/23	W	8	7	3	33.6	1.072		5	4	1	5				5	7	5
A05141-125|1	A05141-125	65-06	1	2009/09/23	W	7	4	3	8.1648	1.084	A05141-125 Tuber.JPG	4	6	1	4	14.32	7.5	6.68	3	9	7
A05141-125|2	A05141-125	65-31	2	2009/09/23	W	7	5	3	32.2	1.082		4	5	1	5				1	9	5
Premier Russet|1	Premier Russet	64-05	1	2009/09/23	W	7	5	7	10.84104	1.09	Premier Tuber.JPG	6	2	1	4	12.89	6.77	6.08	5	7	7
Premier Russet|2	Premier Russet	63-27	2	2009/09/23	W	7	5	7	44.4	1.089		6	2	1	4				5	7	9
Rio Grande Russet|1	Rio Grande Russet	63-04	1	2009/09/23	LP	8	4	3	1.99584	1.078	Rio Grande Russet Tuber.JPG	6	2	1	5	12.27	5.69	4.91	3	7	5
Rio Grande Russet|2	Rio Grande Russet	65-37	2	2009/09/23	LP	8	6	5	7.3	1.072		6	2	1	5				5	5	5

